param_MLP__max_iter,test acc,train acc
1,0.5708865660085173,0.5972189488831333
2,0.573430673082241,0.600360378889545
4,0.5755751894253637,0.6307768960486868
8,0.5785105912283613,0.6531559281922305
16,0.5774169017200376,0.6439695536369033
32,0.5774929483988718,0.6756066424486086
64,0.5845929428682042,0.6476028056712368
128,0.5717604114816659,0.6543329102051199
256,0.5804172888667662,0.6460084250747068
512,0.5840965654554505,0.6340002202449896
1024,0.5715709861180245,0.6320955629130257
2000,0.5746418892760357,0.6528175713319757
2200,0.5753263093855429,0.6592187531372501
2400,0.5782783031911952,0.6199565644676076
2600,0.5792489353464964,0.6435724804206575
2800,0.5815801117194845,0.6558174152736567
3000,0.58296139594049,0.6489253993076483
