,0,1,2,3,4
1,1.0,1.0,1.0,1.0,1.0
2,0.9215,0.9175,0.915125,0.92025,0.915
3,0.90225,0.900375,0.902625,0.902,0.898125
4,0.89225,0.888625,0.88475,0.88825,0.88675
5,0.881,0.883125,0.88175,0.881,0.874375
6,0.875125,0.8785,0.8765,0.87725,0.866875
7,0.868,0.870875,0.86975,0.869625,0.86275
8,0.865125,0.86475,0.863875,0.8645,0.85875
9,0.8595,0.863,0.861,0.858625,0.8545
10,0.85475,0.861375,0.858,0.858,0.8515
11,0.851,0.858375,0.853625,0.85475,0.850625
12,0.850875,0.854875,0.8515,0.850125,0.849
13,0.84625,0.851875,0.848,0.848125,0.845375
14,0.845125,0.848,0.850125,0.846875,0.844125
15,0.842125,0.84625,0.8435,0.844625,0.8435
16,0.841625,0.842125,0.843875,0.84325,0.84075
17,0.83875,0.842625,0.84175,0.8405,0.8365
18,0.838,0.84125,0.83775,0.840125,0.83475
19,0.83525,0.83975,0.837125,0.837375,0.833
20,0.834875,0.839625,0.837875,0.836875,0.83075
21,0.83375,0.83975,0.833875,0.837,0.83125
22,0.8345,0.83675,0.833,0.8345,0.828625
23,0.831625,0.835625,0.830375,0.831,0.827875
24,0.830625,0.83425,0.830875,0.8305,0.8295
25,0.829,0.832875,0.829125,0.830125,0.826625
26,0.829625,0.832,0.829375,0.829375,0.82575
27,0.828375,0.830625,0.82675,0.828,0.82475
28,0.826625,0.83025,0.826,0.827625,0.825625
29,0.825625,0.8275,0.824875,0.827375,0.8235
30,0.82575,0.827625,0.82575,0.827375,0.822125
31,0.8255,0.825125,0.82275,0.8265,0.82275
32,0.823375,0.82675,0.8235,0.82625,0.822875
33,0.823125,0.8235,0.823125,0.825125,0.822125
34,0.821875,0.82375,0.821,0.8245,0.82175
35,0.8215,0.8225,0.82125,0.8245,0.82025
36,0.820125,0.82275,0.8205,0.822875,0.819
37,0.819,0.821375,0.819,0.82425,0.81725
38,0.818875,0.82075,0.818875,0.8225,0.816625
39,0.816125,0.8205,0.818125,0.821625,0.817625
40,0.816375,0.8195,0.816125,0.820375,0.817375
41,0.814,0.819,0.817625,0.8185,0.816
42,0.815125,0.818,0.81775,0.818,0.815125
43,0.81375,0.81675,0.816625,0.81775,0.813625
44,0.8155,0.81725,0.816,0.81675,0.812
45,0.812375,0.8165,0.814125,0.81625,0.81175
46,0.8125,0.815625,0.813375,0.8155,0.810875
47,0.8115,0.814625,0.813625,0.814375,0.810625
48,0.8115,0.814625,0.8125,0.81275,0.810125
49,0.81075,0.8125,0.811375,0.81275,0.80975
50,0.809875,0.81175,0.811,0.812875,0.8085
