,0,1,2,3,4
0.001,0.868375,0.868625,0.86725,0.865,0.86625
0.101,0.939875,0.94175,0.93975,0.94225,0.9415
0.201,0.946125,0.948625,0.94525,0.9495,0.94525
0.30100000000000005,0.94825,0.950625,0.948625,0.95225,0.94725
0.401,0.95,0.952,0.94875,0.95275,0.9485
0.501,0.952625,0.953375,0.950375,0.95425,0.94975
0.6010000000000001,0.95175,0.953625,0.950875,0.95475,0.950375
0.7010000000000001,0.952375,0.95375,0.951875,0.955875,0.95075
0.801,0.953125,0.9545,0.951625,0.955875,0.951375
0.901,0.95325,0.954,0.951625,0.95675,0.952
1.001,0.9535,0.955625,0.95225,0.95775,0.952
1.101,0.953375,0.9555,0.951875,0.9575,0.951625
1.201,0.9535,0.955,0.952125,0.957875,0.95275
1.301,0.954,0.955625,0.95225,0.957375,0.951125
1.401,0.954125,0.95625,0.952375,0.95725,0.952375
1.501,0.955,0.9565,0.952625,0.957,0.95175
1.601,0.954625,0.955,0.953,0.958,0.952875
1.701,0.954375,0.95575,0.952375,0.958125,0.9525
1.801,0.9545,0.95575,0.95275,0.9575,0.95175
1.901,0.95525,0.955875,0.95325,0.95775,0.953125
2.001,0.954875,0.955875,0.9515,0.95875,0.9525
2.101,0.95475,0.955125,0.95475,0.95725,0.95275
2.201,0.954125,0.955625,0.953,0.958125,0.9525
2.301,0.954875,0.95575,0.95225,0.957625,0.95175
2.4010000000000002,0.95475,0.955125,0.95275,0.958,0.95325
