,0,1,2,3,4
0.001,0.6755,0.677,0.679125,0.67725,0.678
0.101,0.803375,0.805,0.80775,0.804875,0.80525
0.201,0.838125,0.835875,0.8375,0.836875,0.835125
0.30100000000000005,0.858125,0.856125,0.857375,0.854125,0.854875
0.401,0.8735,0.869875,0.869,0.87,0.867125
0.501,0.8845,0.879875,0.879875,0.881875,0.877625
0.6010000000000001,0.894875,0.89075,0.889125,0.893375,0.88775
0.7010000000000001,0.9025,0.899,0.897,0.901,0.898
0.801,0.909625,0.905875,0.905125,0.907125,0.90525
0.901,0.9135,0.913875,0.909,0.913125,0.910625
1.001,0.917625,0.917875,0.913625,0.917,0.91575
1.101,0.92175,0.921625,0.918375,0.92125,0.918875
1.201,0.92575,0.925,0.922,0.924625,0.92175
1.301,0.929125,0.928875,0.92525,0.92725,0.92625
1.401,0.932125,0.932875,0.92925,0.929375,0.929875
1.501,0.9355,0.93675,0.9325,0.932875,0.932375
1.601,0.9385,0.939625,0.93525,0.936125,0.935375
1.701,0.9405,0.942375,0.9385,0.938625,0.93925
1.801,0.94225,0.945125,0.94075,0.941,0.9415
1.901,0.944375,0.946625,0.943625,0.94275,0.944375
2.001,0.94675,0.948125,0.946,0.94425,0.947
2.101,0.94875,0.94975,0.9475,0.9465,0.949625
2.201,0.950125,0.952,0.9505,0.94875,0.950625
2.301,0.9515,0.953875,0.95225,0.95075,0.95275
2.4010000000000002,0.95325,0.9555,0.953625,0.9525,0.954
