mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
20.329075479507445,0.04860396385192871,0.805625,0.820625,relu,10.0,"(784,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (784,)}",343,0.806875,0.8259375,0.804375,0.81078125,0.7825,0.81328125,0.821875,0.83078125,0.8125,0.82234375,2.064366723312445,0.004992497255133683,0.013032411518978382,0.0075519037334966215
15.852754354476929,0.04645805358886719,0.81225,0.8298124999999998,relu,10.0,"(392,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (392,)}",341,0.801875,0.8284375,0.823125,0.82453125,0.804375,0.830625,0.816875,0.84125,0.815,0.82421875,2.0926172045402467,0.01394837776289534,0.007960841664045334,0.006205623709587949
41.925971603393556,0.08061757087707519,0.801875,0.8169375000000001,relu,10.0,"(1568,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1568,)}",344,0.785625,0.81265625,0.800625,0.81046875,0.79875,0.816875,0.816875,0.823125,0.8075,0.8215625,8.595262579509017,0.010913322714841103,0.010315340517888879,0.0048959884727192825
59.08430924415588,0.08141388893127441,0.794,0.8032187500000001,relu,10.0,"(784, 784)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (784, 784)}",351,0.799375,0.80921875,0.796875,0.79875,0.78,0.800625,0.804375,0.80609375,0.789375,0.80140625,6.559000576753746,0.01651953233167267,0.008511022265274568,0.00385351908974123
41.33756213188171,0.05524158477783203,0.7975,0.8112187500000001,relu,10.0,"(392, 392)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (392, 392)}",349,0.788125,0.80921875,0.805,0.8053125,0.795,0.8196875,0.8,0.811875,0.799375,0.81,7.486864221838065,0.008936632332454926,0.0056596157113359075,0.0047438282272864885
180.87108244895936,0.16045455932617186,0.78925,0.798625,relu,10.0,"(1568, 1568)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1568, 1568)}",354,0.779375,0.78953125,0.81375,0.80859375,0.770625,0.7975,0.79125,0.79546875,0.79125,0.80203125,35.068476271837056,0.009983607245621934,0.01450969503470006,0.006401598921363316
151.11212849617004,0.09779524803161621,0.78525,0.8002187500000002,relu,10.0,"(784, 784, 784)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (784, 784, 784)}",358,0.766875,0.7959375,0.779375,0.78828125,0.79,0.81265625,0.805625,0.80984375,0.784375,0.794375,49.57864537194213,0.006515583128499769,0.01273283157824686,0.009405471313283533
86.8193055152893,0.06921911239624023,0.795625,0.806125,relu,10.0,"(392, 392, 392)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (392, 392, 392)}",350,0.781875,0.80703125,0.81,0.806875,0.79125,0.80578125,0.795,0.803125,0.8,0.8078125,35.91124650619822,0.017512971115365907,0.009320675941153649,0.0016339895578001869
419.43788800239565,0.24731850624084473,0.788375,0.804,relu,10.0,"(1568, 1568, 1568)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1568, 1568, 1568)}",355,0.778125,0.8046875,0.781875,0.79046875,0.7825,0.81171875,0.795625,0.80328125,0.80375,0.80984375,88.90931496802644,0.03225118916300267,0.009703414347537681,0.007454025757937774
42.28357768058777,0.06031632423400879,0.834875,0.87815625,relu,3.1622776601683795,"(784,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (784,)}",310,0.839375,0.880625,0.844375,0.87203125,0.8225,0.88203125,0.825,0.878125,0.843125,0.87796875,11.098691537087035,0.004954025418858842,0.009265190230103216,0.003425262307473688
22.829387760162355,0.04313902854919434,0.844125,0.885125,relu,3.1622776601683795,"(392,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (392,)}",221,0.844375,0.89,0.85625,0.88265625,0.829375,0.8809375,0.845625,0.89203125,0.845,0.88,1.7371222255348697,0.001679504290627638,0.008575036443071242,0.004926609825732099
37.040708255767825,0.06910109519958496,0.83425,0.86984375,relu,3.1622776601683795,"(1568,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (1568,)}",314,0.834375,0.8728125,0.840625,0.87,0.828125,0.86828125,0.83625,0.87328125,0.831875,0.86484375,5.561605536970469,0.001989775499328803,0.00419076365356004,0.0031014739439498688
83.25443716049195,0.07378454208374023,0.84325,0.8826875,relu,3.1622776601683795,"(784, 784)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (784, 784)}",228,0.834375,0.8734375,0.850625,0.8834375,0.83625,0.89734375,0.85,0.8834375,0.845,0.87578125,28.194984540123595,0.0035237573292935106,0.006793839120850579,0.008356906761774967
39.565421962738036,0.05075092315673828,0.83875,0.87775,relu,3.1622776601683795,"(392, 392)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (392, 392)}",283,0.835,0.8821875,0.845,0.87671875,0.821875,0.86796875,0.839375,0.88109375,0.8525,0.88078125,11.206297792014144,0.004046993431873665,0.010269797953221867,0.005230618988226935
227.08332777023315,0.1594101905822754,0.836375,0.873,relu,3.1622776601683795,"(1568, 1568)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (1568, 1568)}",302,0.835,0.88421875,0.840625,0.866875,0.8275,0.8790625,0.8375,0.85890625,0.84125,0.8759375,34.204321585224335,0.008074754683369859,0.004974937185533101,0.009026545054726111
158.5991569519043,0.14233884811401368,0.831125,0.87225,relu,3.1622776601683795,"(784, 784, 784)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (784, 784, 784)}",325,0.825625,0.86671875,0.8325,0.85734375,0.8425,0.89984375,0.83125,0.87671875,0.82375,0.860625,46.89218347120108,0.03756233588996357,0.006571719714047463,0.015292589095702563
98.48333425521851,0.08265466690063476,0.837875,0.88590625,relu,3.1622776601683795,"(392, 392, 392)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (392, 392, 392)}",290,0.839375,0.88203125,0.85375,0.8828125,0.815625,0.88734375,0.839375,0.89390625,0.84125,0.8834375,19.332733984765103,0.017021047646637397,0.012352884278580438,0.004398819088687324
