,0,1,2,3,4
400,1.0,1.0,1.0,1.0,1.0
462,1.0,1.0,1.0,1.0,1.0
534,1.0,1.0,1.0,1.0,1.0
618,1.0,1.0,0.9970149253731343,0.9952380952380951,1.0
715,1.0,1.0,1.0,1.0,1.0
826,1.0,1.0,1.0,1.0,1.0
956,1.0,1.0,1.0,1.0,1.0
1105,1.0,1.0,1.0,1.0,1.0
1278,1.0,1.0,1.0,1.0,1.0
1478,1.0,1.0,1.0,1.0,1.0
1709,1.0,1.0,1.0,1.0,1.0
1977,1.0,1.0,1.0,1.0,1.0
2286,1.0,1.0,1.0,1.0,1.0
2643,1.0,1.0,1.0,1.0,1.0
3056,1.0,1.0,1.0,1.0,1.0
3534,1.0,1.0,1.0,1.0,1.0
4087,1.0,1.0,1.0,1.0,1.0
4726,1.0,0.9979389441727103,1.0,1.0,1.0
5465,1.0,1.0,1.0,1.0,1.0
6320,1.0,0.9974572876222917,1.0,1.0,1.0
