mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__max_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
1.3236593723297119,0.04388265609741211,0.8135,0.8316874999999999,1,{'MLP__max_iter': 1},17,0.815,0.834375,0.825625,0.83203125,0.805625,0.826875,0.82,0.8403125,0.80125,0.82484375,0.030910432157481613,0.0030256831031328715,0.0089843614130332,0.00550869341359637
1.8783750057220459,0.04388270378112793,0.836875,0.8728125,2,{'MLP__max_iter': 2},16,0.83375,0.8628125,0.83875,0.87078125,0.84625,0.8771875,0.836875,0.880625,0.82875,0.87265625,0.023690346163380192,0.0025231925505885744,0.005782516753110176,0.0060716747586642104
3.0251076221466064,0.044082260131835936,0.842875,0.8928125,4,{'MLP__max_iter': 4},14,0.8525,0.894375,0.843125,0.87234375,0.851875,0.9059375,0.833125,0.89375,0.83375,0.89765625,0.01964925853617044,0.0029181429925172597,0.008390843223419224,0.011117711798072485
5.123493671417236,0.04228696823120117,0.8535,0.9183749999999999,8,{'MLP__max_iter': 8},2,0.8575,0.93859375,0.854375,0.9184375,0.86,0.89828125,0.8525,0.91578125,0.843125,0.92078125,0.4815272763364888,0.0004885387533284932,0.005790617410950231,0.012845840766567201
5.430871200561524,0.044879913330078125,0.848625,0.9161875,16,{'MLP__max_iter': 16},11,0.843125,0.8896875,0.854375,0.94640625,0.854375,0.9375,0.85375,0.89265625,0.8375,0.9146875,1.141603307492185,0.0039894580969300104,0.007020060541049477,0.022915563420413648
6.8321226119995115,0.043483924865722653,0.852,0.93403125,32,{'MLP__max_iter': 32},4,0.860625,0.98078125,0.848125,0.8925,0.859375,0.93484375,0.8525,0.95421875,0.839375,0.9078125,2.521836567162927,0.0011964083038599636,0.00779021822544144,0.031641824822930195
5.469967031478882,0.046275997161865236,0.844625,0.91075,64,{'MLP__max_iter': 64},13,0.85625,0.91234375,0.85625,0.94421875,0.854375,0.946875,0.8275,0.878125,0.82875,0.8721875,1.7850763604104016,0.00678186421152084,0.013495369576265763,0.03155683736331953
5.241976499557495,0.042486047744750975,0.85125,0.9177500000000001,128,{'MLP__max_iter': 128},8,0.849375,0.911875,0.864375,0.90609375,0.84625,0.89875,0.855,0.95375,0.84125,0.91828125,0.9692236646799637,0.0007977963277652459,0.007935285124051932,0.01911892264551011
5.343505191802978,0.044880342483520505,0.851875,0.913875,256,{'MLP__max_iter': 256},5,0.861875,0.91546875,0.855625,0.918125,0.849375,0.8859375,0.850625,0.954375,0.841875,0.89546875,1.4356538721076615,0.0041360650090638985,0.006661456297237084,0.023580273469046086
6.252672958374023,0.042885780334472656,0.85125,0.9330624999999999,512,{'MLP__max_iter': 512},8,0.855625,0.9275,0.860625,0.94,0.855625,0.93484375,0.840625,0.9375,0.84375,0.92546875,0.6993432485614569,0.001092797678360931,0.0076852130744696975,0.005649771842738431
4.844440221786499,0.04348368644714355,0.840125,0.9008750000000001,1024,{'MLP__max_iter': 1024},15,0.815625,0.84203125,0.8575,0.916875,0.840625,0.90125,0.84375,0.89875,0.843125,0.94546875,1.063781576021462,0.0013532321528349944,0.013598023753472408,0.033798951768139185
5.188320446014404,0.0462761402130127,0.855,0.9184374999999999,2000,{'MLP__max_iter': 2000},1,0.8625,0.92109375,0.861875,0.908125,0.86125,0.90140625,0.841875,0.9315625,0.8475,0.93,0.6172388552503308,0.0027925220026947246,0.008615030470056365,0.011911539179509946
5.534195375442505,0.043483543395996097,0.85175,0.9199999999999999,2200,{'MLP__max_iter': 2200},6,0.85,0.8959375,0.8575,0.92046875,0.8425,0.906875,0.856875,0.913125,0.851875,0.96359375,1.412709680909491,0.0004887530489406032,0.005440013786747247,0.023234327715150275
6.289573907852173,0.04488015174865723,0.8505,0.93121875,2400,{'MLP__max_iter': 2400},10,0.856875,0.95359375,0.85625,0.91921875,0.854375,0.96953125,0.8375,0.8903125,0.8475,0.9234375,1.741120508106745,0.0031539360388895183,0.007303680578995763,0.027735743804250146
7.121548318862915,0.04328498840332031,0.851375,0.94209375,2600,{'MLP__max_iter': 2600},7,0.846875,0.94890625,0.84625,0.9109375,0.848125,0.95421875,0.85875,0.92828125,0.856875,0.968125,1.2973364023584084,0.0013525853142814376,0.005323884859761729,0.02016208733303675
6.2301336288452145,0.04368338584899902,0.848375,0.92521875,2800,{'MLP__max_iter': 2800},12,0.85125,0.898125,0.860625,0.933125,0.85,0.96625,0.84625,0.93078125,0.83375,0.8978125,1.822451217392684,0.003051665154182922,0.008710625695092167,0.025542856144135512
6.55945234298706,0.041489028930664064,0.852625,0.9382187500000001,3000,{'MLP__max_iter': 3000},3,0.851875,0.93421875,0.85875,0.9340625,0.84625,0.9453125,0.853125,0.94515625,0.853125,0.93234375,0.39712102028420954,0.0007978201393402389,0.003980420832022685,0.005766111937432364
