,0,1,2,3,4
639,1.0,1.0,1.0,1.0,1.0
739,1.0,1.0,1.0,1.0,1.0
855,1.0,1.0,1.0,1.0,1.0
989,1.0,1.0,1.0,1.0,1.0
1143,1.0,1.0,1.0,1.0,1.0
1322,1.0,1.0,1.0,1.0,1.0
1529,1.0,1.0,1.0,1.0,1.0
1768,1.0,1.0,1.0,1.0,1.0
2044,1.0,1.0,1.0,1.0,1.0
2364,1.0,1.0,1.0,1.0,1.0
2734,1.0,1.0,1.0,1.0,1.0
3161,1.0,1.0,1.0,1.0,1.0
3656,1.0,1.0,1.0,1.0,1.0
4227,1.0,1.0,1.0,1.0,1.0
4888,1.0,1.0,1.0,1.0,1.0
5653,1.0,1.0,1.0,1.0,1.0
6536,1.0,1.0,1.0,1.0,1.0
7558,1.0,1.0,1.0,1.0,1.0
8740,1.0,1.0,1.0,1.0,1.0
10107,1.0,1.0,1.0,1.0,1.0
