,0,1,2,3,4
400,1.0,1.0,1.0,1.0,1.0
462,1.0,1.0,1.0,1.0,1.0
534,1.0,1.0,1.0,1.0,1.0
618,1.0,1.0,1.0,1.0,1.0
715,1.0,1.0,1.0,1.0,1.0
826,1.0,1.0,1.0,1.0,1.0
956,1.0,1.0,1.0,1.0,1.0
1105,1.0,1.0,1.0,1.0,1.0
1278,1.0,1.0,1.0,1.0,1.0
1478,1.0,1.0,1.0,1.0,1.0
1709,1.0,1.0,1.0,1.0,1.0
1977,1.0,1.0,1.0,1.0,1.0
2286,1.0,1.0,1.0,1.0,1.0
2643,0.9985185185185186,1.0,1.0,1.0,1.0
3056,1.0,1.0,1.0,1.0,1.0
3534,1.0,1.0,1.0,1.0,1.0
4087,1.0,1.0,1.0,1.0,1.0
4726,1.0,1.0,1.0,1.0,1.0
5465,1.0,0.9992650997483796,1.0,1.0,0.9968638710077092
6320,1.0,1.0,1.0,1.0,1.0
