iterations,fitness,time,fevals
0,25.0,0.000648599999998,735
10,27.0,0.001214,1365
20,28.0,0.0016959,1982
30,28.0,0.0021018,2610
40,28.0,0.002505,3258
50,28.0,0.0029145,3886
60,28.0,0.0033144,4513
70,28.0,0.00374069999999,5149
80,29.0,0.0041296,5785
90,29.0,0.00452109999999,6418
100,29.0,0.00489949999999,7049
110,28.0,0.00527899999999,7675
120,29.0,0.00566709999999,8300
130,29.0,0.00605619999999,8923
140,30.0,0.00643109999999,9549
150,29.0,0.00685119999999,10177
160,28.0,0.00723869999999,10815
170,28.0,0.00762989999999,11438
180,29.0,0.00802569999999,12067
190,29.0,0.00844819999999,12695
200,30.0,0.00886479999999,13320
210,33.0,0.00928579999999,13945
220,31.0,0.0097076,14571
230,31.0,0.0101398,15202
240,30.0,0.0105614,15832
250,33.0,0.0109929,16471
260,33.0,0.0114201,17101
270,32.0,0.0118144,17743
280,32.0,0.0122075,18377
290,37.0,0.0125951,19010
300,39.0,0.0130013,19631
310,39.0,0.0133878,20256
320,38.0,0.0137589,20886
330,38.0,0.0141354,21523
340,38.0,0.0145171,22147
350,38.0,0.014967,22785
360,38.0,0.0153647,23419
370,38.0,0.0157369,24049
380,39.0,0.0161361,24688
390,39.0,0.0165332,25326
400,38.0,0.0169353,25966
410,38.0,0.0173397,26597
420,39.0,0.0177671,27232
430,39.0,0.0181719,27862
440,40.0,0.018613,28496
450,40.0,0.0190149,29129
460,41.0,0.0194335,29759
470,44.0,0.0198453,30381
480,42.0,0.0202267,31010
490,43.0,0.0206155,31650
500,45.0,0.0210057,32285
510,49.0,0.0213854,32920
520,50.0,0.0217538,33552
530,49.0,0.0221451,34177
540,53.0,0.0225849,34798
550,50.0,0.0229892,35412
560,50.0,0.0233764,36040
570,54.0,0.0237889,36671
580,56.0,0.0242031,37313
590,51.0,0.0246168,37946
600,56.0,0.0249871,38566
610,56.0,0.0253492,39184
620,58.0,0.0257191,39804
630,61.0,0.0260834,40441
640,59.0,0.0264702,41078
650,59.0,0.0268446,41721
660,61.0,0.0272372,42349
670,61.0,0.0275795,42982
680,59.0,0.0279397,43620
690,61.0,0.0284321,44254
700,61.0,0.028874,44885
710,60.0,0.0292526,45523
720,61.0,0.0296189,46134
730,60.0,0.0299714,46754
740,61.0,0.0303515,47380
750,62.0,0.0307022,48011
760,62.0,0.0310493,48655
770,61.0,0.0313921,49280
780,61.0,0.0317909,49912
790,62.0,0.0321562,50534
800,63.0,0.0325147,51167
810,62.0,0.0328655,51812
820,63.0,0.0332307,52442
830,63.0,0.0335951,53081
840,64.0,0.0339532,53706
850,64.0,0.0343327,54328
860,65.0,0.0347608,54966
870,64.0,0.0351806,55598
880,65.0,0.0355549,56220
890,65.0,0.0359176,56847
900,65.0,0.0362905,57482
910,65.0,0.0366681,58120
920,64.0,0.0370487,58759
930,65.0,0.0391072,59392
940,68.0,0.0394784,60027
950,67.0,0.0398575,60663
960,68.0,0.0402199,61284
970,68.0,0.0405788,61916
980,69.0,0.0409372,62542
990,69.0,0.041301,63161
1000,70.0,0.0416764,63797
1010,71.0,0.0420328,64425
1020,70.0,0.0423955,65070
1030,70.0,0.0427494,65701
1040,71.0,0.0431096,66328
1050,71.0,0.043511,66963
1060,73.0,0.0438677,67590
1070,72.0,0.0442241,68217
1080,72.0,0.0445669,68845
1090,73.0,0.044898,69477
1100,73.0,0.0452187,70121
1110,74.0,0.0455384,70749
1120,75.0,0.0458686,71386
1130,74.0,0.0462026,72013
1140,73.0,0.0465323,72639
1150,73.0,0.0468725,73273
1160,73.0,0.0472068,73902
1170,73.0,0.0475492,74524
1180,73.0,0.0479063,75170
1190,74.0,0.04824,75803
1200,74.0,0.0485731,76441
1210,75.0,0.0489452,77062
1220,73.0,0.049292,77681
1230,75.0,0.0496355,78309
1240,75.0,0.0499707,78931
1250,75.0,0.050295,79550
1260,75.0,0.0506181,80176
1270,75.0,0.050977,80794
1280,75.0,0.0513547,81433
1290,76.0,0.0517018,82075
1300,76.0,0.0520525,82708
1310,75.0,0.0523811,83336
1320,75.0,0.0527145,83971
1330,75.0,0.053051,84606
1340,76.0,0.0533752,85239
1350,75.0,0.0537276,85858
1360,76.0,0.0540742,86494
1370,76.0,0.0544029,87118
1380,76.0,0.0547239,87740
1390,75.0,0.0550566,88368
1400,75.0,0.0553908,88988
1410,75.0,0.0557505,89614
1420,75.0,0.0561092,90244
1430,76.0,0.0564674,90867
1440,76.0,0.0568038,91496
1450,76.0,0.0571358,92129
1460,75.0,0.0574732,92767
1470,75.0,0.0578034,93402
1480,75.0,0.058159,94036
1490,75.0,0.0584973,94671
1500,75.0,0.0588352,95291
1510,75.0,0.0591765,95919
1520,76.0,0.0595214,96547
1530,76.0,0.0598553,97169
1540,76.0,0.0601794,97799
1550,77.0,0.0604989,98424
1560,76.0,0.0608198,99055
1570,76.0,0.061148,99691
1580,76.0,0.0614785,100338
1590,76.0,0.0618115,100954
1600,76.0,0.0622139,101595
1610,74.0,0.0625738,102225
1620,74.0,0.0629168,102850
1630,74.0,0.0632441,103473
1640,74.0,0.0635955,104114
1650,74.0,0.0640221,104747
1660,74.0,0.0644074,105370
1670,74.0,0.0647753,106000
1680,74.0,0.0652079,106636
1690,74.0,0.0656238,107278
1700,73.0,0.0659775,107906
1710,73.0,0.066374,108547
1720,74.0,0.0667176,109168
1730,73.0,0.0670506,109793
1740,73.0,0.0673906,110425
1750,73.0,0.0677199,111063
1760,74.0,0.0680449,111690
1770,75.0,0.0683951,112313
1780,74.0,0.068755,112946
1790,75.0,0.0691187,113583
1800,74.0,0.0694595,114213
1810,74.0,0.0698028,114847
1820,75.0,0.0701376,115485
1830,74.0,0.0704818,116112
1840,73.0,0.070833,116737
1850,73.0,0.0711827,117374
1860,73.0,0.0715414,118002
1870,73.0,0.0719049,118627
1880,73.0,0.0722646,119268
1890,72.0,0.0726448,119880
1900,71.0,0.0730425,120514
1910,74.0,0.073399,121147
1920,73.0,0.0737421,121780
1930,71.0,0.0740893,122405
1940,74.0,0.0744663,123028
1950,75.0,0.0748314,123659
1960,76.0,0.0752507,124287
1970,75.0,0.0755973,124925
1980,74.0,0.0759421,125541
1990,75.0,0.0762863,126160
2000,76.0,0.0766266,126802
2010,75.0,0.076968,127430
2020,76.0,0.0773539,128058
2030,76.0,0.0777058,128693
2040,76.0,0.078038,129313
2050,76.0,0.0783719,129948
2060,76.0,0.0787126,130577
2070,75.0,0.079041,131209
2080,75.0,0.0793748,131837
2090,75.0,0.0797235,132462
2100,75.0,0.0801026,133092
2110,75.0,0.0804531,133712
2120,75.0,0.0808014,134338
2130,76.0,0.0811564,134950
2140,76.0,0.0814962,135578
2150,76.0,0.0818609,136212
2160,76.0,0.0822017,136854
2170,76.0,0.0825566,137474
2180,76.0,0.0828848,138101
2190,75.0,0.0832181,138724
2200,76.0,0.0835498,139356
2210,77.0,0.0838792,139984
2220,77.0,0.084209,140615
2230,76.0,0.0845486,141244
2240,76.0,0.0848857,141890
2250,77.0,0.085247,142508
2260,76.0,0.0855739,143130
2270,75.0,0.0859528,143756
2280,76.0,0.0863861,144387
2290,77.0,0.0867785,145020
2300,77.0,0.0871765,145646
2310,76.0,0.0876043,146285
2320,77.0,0.0879683,146910
2330,77.0,0.088303,147544
2340,78.0,0.0886496,148175
2350,78.0,0.0890615,148800
2360,83.0,0.0895075,149426
2370,79.0,0.0898634,150058
2380,77.0,0.090206,150676
2390,78.0,0.0905514,151316
2400,79.0,0.0908985,151950
2410,79.0,0.0912436,152570
2420,79.0,0.0915895,153200
2430,83.0,0.0919443,153833
2440,83.0,0.0922977,154478
2450,82.0,0.0926482,155107
2460,82.0,0.0929946,155728
2470,83.0,0.0933455,156355
2480,83.0,0.0937587,156998
2490,83.0,0.0941361,157633
2500,83.0,0.0944791,158256
2510,83.0,0.0948077,158893
2520,83.0,0.0951391,159534
2530,83.0,0.0954711,160158
2540,83.0,0.0957901,160774
2550,84.0,0.0961085,161408
2560,84.0,0.096433,162025
2570,84.0,0.0967611,162656
2580,84.0,0.0971016,163282
2590,84.0,0.0974458,163910
2600,84.0,0.0977824,164548
2610,84.0,0.0981297,165173
2620,84.0,0.0984563,165782
2630,84.0,0.0987809,166415
2640,84.0,0.0991258,167041
2650,84.0,0.0994434,167651
2660,84.0,0.0997639,168277
2670,84.0,0.1000839,168907
2680,84.0,0.1003927,169540
2690,84.0,0.1025084,170173
2700,84.0,0.1028547,170804
2710,84.0,0.1031738,171417
2720,85.0,0.1035057,172047
2730,85.0,0.1038402,172685
2740,84.0,0.1041569,173308
2750,84.0,0.1044667,173931
2760,85.0,0.1048183,174575
2770,85.0,0.1051452,175207
2780,84.0,0.1054745,175824
2790,85.0,0.1058024,176457
2800,85.0,0.1061308,177082
2810,84.0,0.1064503,177703
2820,85.0,0.1067767,178336
2830,87.0,0.1071093,178959
2840,84.0,0.1074678,179604
2850,84.0,0.1077974,180238
2860,83.0,0.1081154,180875
2870,87.0,0.1084401,181514
2880,84.0,0.1087726,182136
2890,86.0,0.109105,182756
2900,89.0,0.1094282,183375
2910,86.0,0.1097422,184004
2920,86.0,0.1100555,184644
2930,86.0,0.1103751,185264
2940,85.0,0.1106975,185896
2950,83.0,0.1110148,186529
2960,83.0,0.1113508,187170
2970,84.0,0.1116943,187800
2980,84.0,0.1120144,188445
2990,84.0,0.112341,189094
3000,87.0,0.1126647,189744
3010,87.0,0.1129906,190381
3020,87.0,0.1133128,191005
3030,86.0,0.1136291,191637
3040,87.0,0.1139506,192276
3050,87.0,0.1142683,192899
3060,87.0,0.1146028,193519
3070,87.0,0.1149358,194151
3080,87.0,0.11531,194780
3090,87.0,0.1157463,195408
3100,87.0,0.1160733,196036
3110,87.0,0.1163958,196669
3120,87.0,0.1167239,197307
3130,87.0,0.117044,197945
3140,87.0,0.1173581,198572
3150,87.0,0.1176765,199203
3160,87.0,0.117991,199838
3170,87.0,0.1183209,200480
3180,87.0,0.1186385,201106
3190,88.0,0.118954,201730
3200,87.0,0.1193374,202377
3210,85.0,0.1196585,203022
3220,86.0,0.1199864,203652
3230,86.0,0.1203029,204282
3240,86.0,0.1206236,204909
3250,87.0,0.1209444,205540
3260,85.0,0.1212715,206168
3270,86.0,0.1216047,206802
3280,88.0,0.1219403,207430
3290,87.0,0.1223441,208070
3300,87.0,0.1226827,208709
3310,85.0,0.1230146,209343
3320,86.0,0.1234218,209984
3330,87.0,0.1237765,210610
3340,87.0,0.1241105,211239
3350,87.0,0.1244337,211876
3360,87.0,0.1247574,212509
3370,87.0,0.1250731,213139
3380,87.0,0.1253855,213769
3390,87.0,0.1257068,214406
3400,87.0,0.1260569,215033
3410,87.0,0.1263723,215667
3420,89.0,0.1266874,216294
3430,89.0,0.1270214,216916
3440,89.0,0.127324,217555
3450,88.0,0.1276279,218194
3460,87.0,0.1279645,218823
3470,87.0,0.1282892,219455
3480,87.0,0.1286055,220091
3490,87.0,0.1289107,220722
3500,87.0,0.1292364,221347
3510,88.0,0.129544,221972
3520,87.0,0.1298571,222594
3530,87.0,0.1301839,223213
3540,87.0,0.130504,223840
3550,88.0,0.1308575,224457
3560,88.0,0.1311775,225077
3570,87.0,0.131504,225702
3580,87.0,0.1318156,226326
3590,88.0,0.1321437,226966
3600,88.0,0.1324661,227604
3610,88.0,0.1327856,228237
3620,87.0,0.1331222,228859
3630,88.0,0.1334598,229489
3640,87.0,0.1337786,230113
3650,87.0,0.1341006,230742
3660,88.0,0.1344089,231363
3670,87.0,0.1347237,231984
3680,87.0,0.1350447,232610
3690,87.0,0.1353598,233243
3700,87.0,0.1356787,233879
3710,86.0,0.1360036,234505
3720,86.0,0.1363496,235122
3730,86.0,0.1366766,235751
3740,88.0,0.1369917,236371
3750,87.0,0.1373494,237001
3760,86.0,0.137669,237639
3770,86.0,0.1379751,238259
3780,86.0,0.1382963,238888
3790,86.0,0.1386089,239523
3800,86.0,0.1389197,240167
3810,86.0,0.1392308,240789
3820,86.0,0.1395359,241414
3830,87.0,0.139838,242043
3840,87.0,0.1401412,242668
3850,86.0,0.1405455,243302
3860,87.0,0.1408678,243934
3870,87.0,0.1411918,244561
3880,87.0,0.1415143,245178
3890,88.0,0.1418347,245806
3900,87.0,0.1421549,246443
3910,89.0,0.1424703,247077
3920,91.0,0.1427883,247707
3930,91.0,0.1431202,248328
3940,92.0,0.1434529,248956
3950,93.0,0.143785,249580
3960,93.0,0.1441089,250205
3970,92.0,0.1444292,250820
3980,93.0,0.1447649,251455
3990,93.0,0.145092,252086
4000,94.0,0.1454066,252708
4010,93.0,0.1457217,253336
4020,93.0,0.1460368,253965
4030,93.0,0.146348,254592
4040,93.0,0.1466618,255216
4050,94.0,0.146968,255863
4060,94.0,0.147281,256504
4070,93.0,0.1475838,257133
4080,93.0,0.1478895,257770
4090,95.0,0.1482003,258407
4100,93.0,0.1485479,259036
4110,94.0,0.1488714,259668
4120,94.0,0.1491775,260305
4130,94.0,0.1494887,260937
4140,94.0,0.1497967,261569
4150,94.0,0.1501001,262195
4160,97.0,0.1505292,262823
4170,97.0,0.1508697,263458
4180,97.0,0.1512725,264078
4190,97.0,0.1515948,264718
4200,97.0,0.1519088,265350
4210,95.0,0.1522181,265977
4220,95.0,0.1525216,266612
4230,93.0,0.1528513,267237
4240,93.0,0.153176,267851
4250,93.0,0.1534876,268490
4260,96.0,0.1537977,269136
4270,96.0,0.1541709,269773
4280,97.0,0.1544727,270402
4290,98.0,0.1547676,271027
4300,98.0,0.1550662,271652
4310,95.0,0.1553705,272280
4320,95.0,0.1556773,272910
4330,95.0,0.1559853,273539
4340,94.0,0.156288,274169
4350,95.0,0.1565914,274803
4360,94.0,0.156907,275443
4370,93.0,0.157231,276067
4380,96.0,0.1575564,276707
4390,98.0,0.1578793,277339
4400,98.0,0.1582025,277968
4410,95.0,0.1585234,278583
4420,94.0,0.1588413,279216
4430,94.0,0.1591423,279840
4440,94.0,0.1594415,280464
4450,94.0,0.1611988,281094
4460,94.0,0.1615114,281729
4470,94.0,0.161849,282357
4480,94.0,0.1621649,282987
4490,94.0,0.162482,283617
4500,94.0,0.1627934,284242
4510,94.0,0.1630975,284872
4520,94.0,0.1634045,285496
4530,94.0,0.1637172,286129
4540,95.0,0.1640639,286755
4550,94.0,0.1643753,287375
4560,94.0,0.1646898,288000
4570,94.0,0.1650011,288635
4580,94.0,0.1653106,289264
4590,90.0,0.1656275,289907
4600,90.0,0.1659475,290540
4610,90.0,0.166272,291171
4620,94.0,0.1665897,291798
4630,94.0,0.1669087,292440
4640,91.0,0.1672335,293070
4650,90.0,0.1675421,293693
4660,91.0,0.1678458,294307
4670,90.0,0.1681518,294934
4680,94.0,0.1684628,295572
4690,94.0,0.1687797,296197
4700,94.0,0.1691042,296840
4710,94.0,0.1694229,297466
4720,94.0,0.1697357,298082
4730,91.0,0.170081,298717
4740,91.0,0.1704095,299337
4750,92.0,0.170733,299962
4760,92.0,0.1710646,300603
4770,94.0,0.1713983,301245
4780,92.0,0.1717269,301867
4790,94.0,0.1720422,302484
4800,95.0,0.172373,303116
4810,95.0,0.1726889,303749
4820,94.0,0.1731509,304382
4830,94.0,0.1734684,305025
4840,94.0,0.1738717,305651
4850,94.0,0.1742427,306268
4860,91.0,0.1745696,306887
4870,93.0,0.1748934,307518
4880,91.0,0.1752139,308148
4890,94.0,0.1755333,308786
4900,92.0,0.1759416,309408
4910,93.0,0.1762647,310053
4920,92.0,0.1765872,310689
4930,91.0,0.1769001,311323
4940,91.0,0.1772135,311962
4950,92.0,0.1775144,312588
4960,92.0,0.1778393,313216
4970,92.0,0.178143,313844
4980,93.0,0.1784472,314473
4990,92.0,0.1787515,315105
5000,92.0,0.1790797,315738
