iterations,fitness,time,fevals
0,29.0,0.060681,1000
10,36.0,0.1156752,2100
20,44.0,0.161704,3200
30,46.0,0.2032869,4300
40,50.0,0.2439785,5400
50,52.0,0.2835766,6500
60,51.0,0.3218566,7600
70,54.0,0.3585786,8700
80,51.0,0.3969346,9800
90,54.0,0.4345835,10900
100,54.0,0.4723612,12000
110,51.0,0.5100381,13100
120,53.0,0.54737,14200
130,54.0,0.5852341,15300
140,51.0,0.6237313,16400
150,51.0,0.6612622,17500
160,51.0,0.6988011,18600
170,54.0,0.7369132,19700
180,54.0,0.7744416,20800
190,51.0,0.8139054,21900
200,54.0,0.8514867,23000
210,55.0,0.8876839,24100
220,59.0,0.9265584,25200
230,54.0,0.9653942,26300
240,52.0,1.0024683,27400
250,54.0,1.0405742,28500
260,54.0,1.0775812,29600
270,52.0,1.1160854,30700
280,52.0,1.1537166,31800
290,51.0,1.1897464,32900
300,54.0,1.2265393,34000
310,56.0,1.2637043,35100
320,54.0,1.30175,36200
330,51.0,1.3385828,37300
340,54.0,1.3757369,38400
350,53.0,1.4130644,39500
360,52.0,1.4507872,40600
370,52.0,1.4883612,41700
380,52.0,1.52714,42800
390,51.0,1.5645716,43900
400,54.0,1.6027655,45000
410,54.0,1.6406384,46100
420,54.0,1.6789217,47200
430,55.0,1.7174259,48300
440,51.0,1.7557289,49400
450,54.0,1.7930422,50500
460,51.0,1.8297726,51600
470,51.0,1.866902,52700
480,55.0,1.903837,53800
490,51.0,1.9414259,54900
500,54.0,1.9798159,56000
510,54.0,2.0173578,57100
520,54.0,2.0550896,58200
530,59.0,2.0923308,59300
540,51.0,2.1294794,60400
550,51.0,2.1677569,61500
560,55.0,2.2049482,62600
570,55.0,2.2431859,63700
580,51.0,2.2812953,64800
590,52.0,2.3195459,65900
600,55.0,2.357816,67000
610,51.0,2.3972317,68100
620,51.0,2.4351708,69200
630,54.0,2.4734689,70300
640,51.0,2.5108441,71400
650,58.0,2.549957,72500
660,52.0,2.5896871,73600
670,52.0,2.62846,74700
680,59.0,2.6668548,75800
690,56.0,2.7063201,76900
700,60.0,2.7446007,78000
710,55.0,2.7834645,79100
720,59.0,2.820641,80200
730,59.0,2.8575391,81300
740,59.0,2.8960499,82400
750,61.0,2.9351617,83500
760,57.0,2.9728566,84600
770,62.0,3.0129844,85700
