iterations,fitness,time,fevals
0,18.0,1.26e-05,11
10,18.0,3.04999999999e-05,21
20,18.0,4.92e-05,31
30,18.0,7.39999999999e-05,41
40,18.0,8.81999999999e-05,51
50,18.0,0.000102,61
60,18.0,0.0001155,71
70,21.0,0.0001338,81
80,21.0,0.0001537,91
90,21.0,0.0001696,101
100,21.0,0.0001892,111
110,22.0,0.0002063,121
120,23.0,0.000223,131
130,23.0,0.0002431,141
140,23.0,0.000262,151
150,23.0,0.0002874,161
160,23.0,0.0003078,171
170,23.0,0.0003287,181
180,23.0,0.0003478,191
190,23.0,0.000367,201
200,23.0,0.0003879,211
210,23.0,0.0004054,221
220,23.0,0.0004274,231
230,23.0,0.0004456,241
240,23.0,0.0004653,251
250,23.0,0.0004807,261
260,23.0,0.0005046,271
270,23.0,0.0005222,281
280,23.0,0.0005404,291
290,23.0,0.0005574,301
300,23.0,0.0005738,311
310,23.0,0.0005897,321
320,23.0,0.0006227,331
330,23.0,0.00064,341
340,23.0,0.0006568,351
350,23.0,0.0006754,361
360,23.0,0.0007172,371
370,23.0,0.0007396,381
380,23.0,0.000761,391
390,23.0,0.0007805,401
400,23.0,0.0008018,411
410,23.0,0.0008669,421
420,23.0,0.0008859,431
430,23.0,0.0009057,441
440,23.0,0.0009244,451
450,23.0,0.0009428,461
460,23.0,0.0009601,471
470,23.0,0.0010164,481
480,23.0,0.0012714,491
490,23.0,0.0013074,501
500,25.0,0.0013249,511
510,25.0,0.0013451,521
520,25.0,0.001365,531
530,26.0,0.0013829,541
540,30.0,0.001401,551
550,30.0,0.0014185,561
560,30.0,0.0014366,571
570,30.0,0.0014546,581
580,30.0,0.0014698,591
590,30.0,0.001489,601
600,30.0,0.0015123,611
610,30.0,0.0015318,621
620,30.0,0.0015605,631
630,30.0,0.0015754,641
640,30.0,0.0015943,651
650,30.0,0.0016115,661
660,30.0,0.0016262,671
670,30.0,0.0016454,681
680,34.0,0.0016659,691
690,34.0,0.0016874,701
700,34.0,0.0017023,711
710,34.0,0.0017168,721
720,34.0,0.0017391,731
730,34.0,0.0017572,741
740,34.0,0.0017766,751
750,34.0,0.0017941,761
760,34.0,0.0018109,771
770,34.0,0.0018369,781
780,34.0,0.0018545,791
790,34.0,0.0018737,801
800,34.0,0.001893,811
810,34.0,0.0019043,821
820,34.0,0.001917,831
830,34.0,0.001931,841
840,34.0,0.0019452,851
850,34.0,0.0020438,861
860,34.0,0.0020612,871
870,34.0,0.002086,881
880,34.0,0.0021076,891
890,34.0,0.0021365,901
900,34.0,0.0021576,911
910,34.0,0.0021782,921
920,34.0,0.0023263,931
930,34.0,0.0023595,941
940,34.0,0.0023753,951
950,34.0,0.0023948,961
960,34.0,0.0024128,971
970,34.0,0.0024421,981
980,34.0,0.0024579,991
990,34.0,0.0024857,1001
1000,34.0,0.0025008,1011
1010,34.0,0.0025265,1021
1020,34.0,0.0025437,1031
1030,34.0,0.0025843,1041
1040,35.0,0.0026005,1051
1050,35.0,0.0026231,1061
1060,35.0,0.0026415,1071
1070,36.0,0.0026556,1081
1080,36.0,0.0026731,1091
1090,37.0,0.0026961,1101
1100,37.0,0.0027195,1111
1110,38.0,0.002754,1121
1120,39.0,0.0027656,1131
1130,39.0,0.0027773,1141
1140,39.0,0.0027904,1151
1150,40.0,0.0028015,1161
1160,40.0,0.0028128,1171
1170,40.0,0.0028306,1181
1180,40.0,0.0028448,1191
1190,41.0,0.0028637,1201
1200,41.0,0.0028818,1211
1210,41.0,0.0028987,1221
1220,41.0,0.002917,1231
1230,41.0,0.002939,1241
1240,41.0,0.0029533,1251
1250,41.0,0.0029695,1261
1260,41.0,0.0029822,1271
1270,41.0,0.0029969,1281
1280,41.0,0.0030348,1291
1290,41.0,0.0030568,1301
1300,41.0,0.0030676,1311
1310,41.0,0.0030893,1321
1320,41.0,0.0031026,1331
1330,41.0,0.0031161,1341
1340,41.0,0.0031295,1351
1350,41.0,0.0031889,1361
1360,41.0,0.0032064,1371
1370,41.0,0.0032242,1381
1380,41.0,0.003243,1391
1390,41.0,0.0032608,1401
1400,41.0,0.0032838,1411
1410,41.0,0.0033011,1421
1420,41.0,0.0033177,1431
1430,41.0,0.0033415,1441
1440,41.0,0.0033666,1451
1450,41.0,0.0033888,1461
1460,41.0,0.0034102,1471
1470,41.0,0.0034353,1481
1480,41.0,0.00345,1491
1490,41.0,0.0034619,1501
1500,41.0,0.0034725,1511
1510,41.0,0.0034838,1521
1520,41.0,0.0034994,1531
1530,41.0,0.0035227,1541
1540,41.0,0.0035472,1551
1550,41.0,0.0035635,1561
1560,41.0,0.0035772,1571
1570,41.0,0.0035927,1581
1580,41.0,0.0036091,1591
1590,41.0,0.0036264,1601
1600,41.0,0.0036431,1611
1610,41.0,0.0036572,1621
1620,41.0,0.0036731,1631
1630,42.0,0.0036982,1641
1640,42.0,0.0037187,1651
1650,42.0,0.0037459,1661
1660,42.0,0.00377,1671
1670,42.0,0.0037881,1681
1680,42.0,0.0038022,1691
1690,43.0,0.0038187,1701
1700,43.0,0.0038345,1711
1710,43.0,0.00385,1721
1720,43.0,0.0038645,1731
1730,43.0,0.0038786,1741
1740,43.0,0.0038906,1751
1750,43.0,0.0039062,1761
1760,43.0,0.0039187,1771
1770,43.0,0.0039407,1781
1780,43.0,0.003957,1791
1790,44.0,0.0039688,1801
1800,44.0,0.003983,1811
1810,53.0,0.0039948,1821
1820,53.0,0.0040067,1831
1830,54.0,0.0040287,1841
1840,54.0,0.0040421,1851
1850,54.0,0.0040694,1861
1860,54.0,0.0040852,1871
1870,55.0,0.0041031,1881
1880,55.0,0.0041454,1891
1890,55.0,0.0041666,1901
1900,55.0,0.0041883,1911
1910,56.0,0.0042019,1921
1920,56.0,0.0042144,1931
1930,56.0,0.0042265,1941
1940,56.0,0.0042433,1951
1950,56.0,0.0042575,1961
1960,56.0,0.0042808,1971
1970,56.0,0.0042943,1981
1980,56.0,0.0043121,1991
1990,56.0,0.0043296,2001
2000,57.0,0.004347,2011
2010,57.0,0.0043585,2021
2020,58.0,0.0043726,2031
2030,61.0,0.0044413,2041
2040,62.0,0.0044627,2051
2050,62.0,0.0044789,2061
2060,62.0,0.0044971,2071
2070,62.0,0.004513,2081
2080,62.0,0.004536,2091
2090,62.0,0.004548,2101
2100,62.0,0.0045708,2111
2110,62.0,0.0045878,2121
2120,64.0,0.0046049,2131
2130,64.0,0.0046177,2141
2140,65.0,0.0046292,2151
2150,65.0,0.0046431,2161
2160,65.0,0.0046552,2171
2170,65.0,0.004667,2181
2180,66.0,0.004678,2191
2190,66.0,0.0046924,2201
2200,66.0,0.0047069,2211
2210,66.0,0.0047207,2221
2220,66.0,0.004736,2231
2230,66.0,0.0047559,2241
2240,66.0,0.0047683,2251
2250,66.0,0.0047923,2261
2260,66.0,0.0048138,2271
2270,66.0,0.0048334,2281
2280,66.0,0.0048546,2291
2290,66.0,0.0048655,2301
2300,66.0,0.0048769,2311
2310,66.0,0.0048876,2321
2320,66.0,0.0048992,2331
2330,66.0,0.0049179,2341
2340,66.0,0.0049347,2351
2350,67.0,0.004952,2361
2360,67.0,0.0049668,2371
2370,67.0,0.0049816,2381
2380,67.0,0.0049988,2391
2390,67.0,0.0050163,2401
2400,67.0,0.0050306,2411
2410,67.0,0.0050434,2421
