iterations,fitness,time,fevals
0,15.0,1.16999999999e-05,11
10,13.0,2.17000000005e-05,21
20,13.0,3.04e-05,31
30,15.0,4.05999999993e-05,41
40,15.0,4.88999999986e-05,51
50,16.0,5.62999999989e-05,61
60,16.0,9.41999999986e-05,71
70,16.0,0.000103099999999,81
80,16.0,0.000109599999998,91
90,16.0,0.000121599999998,101
100,16.0,0.000130799999998,111
110,16.0,0.000141199999998,121
120,16.0,0.000151499999999,131
130,16.0,0.000161299999998,141
140,17.0,0.000175099999999,151
150,17.0,0.000187099999999,161
160,18.0,0.000196799999999,171
170,18.0,0.0002076,181
180,18.0,0.0002222,191
190,18.0,0.000236,201
200,18.0,0.0002463,211
210,18.0,0.000257599999999,221
220,18.0,0.0002675,231
230,18.0,0.000279699999999,241
240,20.0,0.000302399999999,251
250,20.0,0.000314899999999,261
260,20.0,0.000327299999999,271
270,20.0,0.0003398,281
280,20.0,0.0003494,291
290,20.0,0.000358,301
300,21.0,0.0003663,311
310,22.0,0.0003756,321
320,22.0,0.000387099999999,331
330,22.0,0.000401399999999,341
340,24.0,0.000432,351
350,24.0,0.0004414,361
360,24.0,0.0004506,371
370,24.0,0.0004621,381
380,26.0,0.0004712,391
390,26.0,0.000478899999999,401
400,30.0,0.000487799999999,411
410,31.0,0.000498799999999,421
420,31.0,0.000507599999999,431
430,33.0,0.000515899999999,441
440,33.0,0.000523799999999,451
450,33.0,0.000533099999999,461
460,33.0,0.0005434,471
470,33.0,0.0005522,481
480,33.0,0.000580199999999,491
490,33.0,0.0005887,501
500,39.0,0.0005985,511
510,39.0,0.0006337,521
520,39.0,0.0006442,531
530,39.0,0.000655,541
540,39.0,0.000665300000001,551
550,40.0,0.000674300000001,561
560,40.0,0.0006826,571
570,40.0,0.000719200000001,581
580,42.0,0.0007291,591
590,42.0,0.0007381,601
600,42.0,0.0007452,611
610,42.0,0.0007533,621
620,42.0,0.0007627,631
630,42.0,0.0007774,641
640,42.0,0.0007875,651
650,42.0,0.000795900000001,661
660,42.0,0.0008087,671
670,42.0,0.0008196,681
680,42.0,0.0008281,691
690,42.0,0.0008386,701
700,42.0,0.000849099999999,711
710,42.0,0.000858699999999,721
720,42.0,0.000867899999999,731
730,42.0,0.000878899999999,741
740,42.0,0.000888399999999,751
750,42.0,0.000895399999999,761
760,42.0,0.000903599999999,771
770,42.0,0.0009143,781
780,42.0,0.0009235,791
790,42.0,0.0009347,801
800,42.0,0.0009587,811
810,42.0,0.0009695,821
820,43.0,0.000978,831
830,45.0,0.0009866,841
840,47.0,0.0009961,851
850,47.0,0.0010031,861
860,47.0,0.0010124,871
870,47.0,0.0010248,881
880,47.0,0.001034,891
890,47.0,0.001043,901
900,48.0,0.0010557,911
910,49.0,0.0010671,921
920,49.0,0.0010769,931
930,49.0,0.0010883,941
940,49.0,0.0010989,951
950,49.0,0.0011064,961
960,49.0,0.0011142,971
970,49.0,0.0011247,981
980,49.0,0.0011366,991
990,49.0,0.0011492,1001
1000,50.0,0.0011586,1011
1010,50.0,0.0011666,1021
1020,50.0,0.001175,1031
1030,50.0,0.0011837,1041
1040,50.0,0.0011908,1051
1050,51.0,0.0011991,1061
1060,51.0,0.0012089,1071
1070,52.0,0.0012179,1081
1080,52.0,0.0012245,1091
1090,52.0,0.0012329,1101
1100,53.0,0.0012409,1111
1110,54.0,0.001249,1121
1120,54.0,0.0012566,1131
1130,55.0,0.0012652,1141
1140,55.0,0.001276,1151
1150,55.0,0.0012888,1161
1160,55.0,0.0013256,1171
1170,55.0,0.0013367,1181
1180,55.0,0.0013462,1191
1190,55.0,0.0013565,1201
1200,55.0,0.0013656,1211
1210,55.0,0.0013745,1221
1220,55.0,0.0013873,1231
1230,55.0,0.0014009,1241
1240,55.0,0.0014115,1251
1250,56.0,0.0014225,1261
1260,56.0,0.0014344,1271
1270,57.0,0.0014446,1281
1280,57.0,0.0014547,1291
1290,58.0,0.0014635,1301
1300,58.0,0.0014757,1311
1310,58.0,0.001487,1321
1320,58.0,0.0014979,1331
1330,58.0,0.0015082,1341
1340,58.0,0.001519,1351
1350,58.0,0.0015285,1361
1360,58.0,0.0015388,1371
1370,58.0,0.00155,1381
1380,58.0,0.0015618,1391
1390,58.0,0.0015731,1401
1400,58.0,0.0015832,1411
1410,58.0,0.0015956,1421
1420,58.0,0.0016069,1431
1430,58.0,0.0016158,1441
1440,58.0,0.0016258,1451
1450,58.0,0.0016329,1461
1460,58.0,0.0016469,1471
1470,58.0,0.0016568,1481
1480,58.0,0.001671,1491
1490,58.0,0.0016849,1501
1500,58.0,0.0016945,1511
1510,58.0,0.0017048,1521
1520,58.0,0.0017145,1531
1530,58.0,0.0017257,1541
1540,58.0,0.0017368,1551
1550,58.0,0.0017488,1561
1560,58.0,0.0017606,1571
1570,58.0,0.0017728,1581
1580,58.0,0.001784,1591
1590,58.0,0.0017963,1601
1600,58.0,0.0018089,1611
1610,58.0,0.0018188,1621
1620,58.0,0.0018323,1631
1630,58.0,0.0018438,1641
1640,58.0,0.0018556,1651
1650,58.0,0.0019162,1661
1660,58.0,0.0019275,1671
1670,58.0,0.0019406,1681
1680,58.0,0.0019534,1691
1690,58.0,0.0019643,1701
1700,58.0,0.0019756,1711
1710,63.0,0.0019885,1721
1720,63.0,0.0020011,1731
1730,64.0,0.0020117,1741
1740,65.0,0.0020211,1751
1750,65.0,0.0020339,1761
1760,65.0,0.0020568,1771
1770,65.0,0.0020698,1781
1780,65.0,0.0020805,1791
1790,65.0,0.0020916,1801
1800,65.0,0.0021025,1811
1810,65.0,0.0021153,1821
1820,68.0,0.0021269,1831
1830,68.0,0.0021363,1841
1840,68.0,0.0021484,1851
1850,68.0,0.0021591,1861
1860,68.0,0.0021685,1871
1870,69.0,0.0021797,1881
1880,69.0,0.0021928,1891
1890,69.0,0.0022027,1901
1900,69.0,0.0022123,1911
1910,70.0,0.0022254,1921
1920,70.0,0.0022359,1931
1930,76.0,0.0022478,1941
1940,76.0,0.0022811,1951
1950,76.0,0.0022937,1961
1960,77.0,0.0023093,1971
1970,77.0,0.0023237,1981
1980,77.0,0.0023363,1991
1990,77.0,0.0023483,2001
2000,77.0,0.0023584,2011
2010,77.0,0.002371,2021
2020,78.0,0.0023856,2031
2030,78.0,0.0023987,2041
2040,80.0,0.0024121,2051
2050,80.0,0.0024266,2061
2060,80.0,0.0024393,2071
2070,80.0,0.0024495,2081
2080,80.0,0.0024632,2091
2090,80.0,0.0024746,2101
2100,80.0,0.0024848,2111
2110,80.0,0.0024927,2121
2120,80.0,0.0025051,2131
2130,80.0,0.0025167,2141
2140,80.0,0.0025257,2151
2150,81.0,0.0025408,2161
2160,81.0,0.0025497,2171
2170,81.0,0.0025575,2181
2180,81.0,0.0025676,2191
2190,81.0,0.0025786,2201
2200,81.0,0.0025919,2211
2210,81.0,0.0026081,2221
2220,81.0,0.002619,2231
2230,81.0,0.0026289,2241
2240,81.0,0.0026382,2251
2250,81.0,0.0026476,2261
2260,81.0,0.0026596,2271
2270,81.0,0.0026699,2281
2280,81.0,0.0026833,2291
2290,81.0,0.0026985,2301
2300,81.0,0.0027099,2311
2310,81.0,0.0027217,2321
2320,81.0,0.0027319,2331
2330,81.0,0.0027429,2341
2340,81.0,0.0027541,2351
2350,81.0,0.0027678,2361
2360,81.0,0.0027793,2371
2370,81.0,0.0027917,2381
2380,81.0,0.0028011,2391
2390,81.0,0.0028107,2401
2400,81.0,0.00282,2411
2410,81.0,0.0028293,2421
2420,81.0,0.0028377,2431
2430,81.0,0.0028456,2441
2440,81.0,0.0028564,2451
2450,81.0,0.0028688,2461
2460,81.0,0.0028772,2471
2470,81.0,0.0028899,2481
2480,81.0,0.0029009,2491
2490,81.0,0.0029144,2501
2500,81.0,0.0029288,2511
2510,81.0,0.0029411,2521
2520,81.0,0.0029514,2531
2530,81.0,0.0029628,2541
2540,81.0,0.0029723,2551
2550,81.0,0.0029824,2561
2560,81.0,0.0029926,2571
2570,81.0,0.0030022,2581
2580,81.0,0.0030103,2591
2590,81.0,0.0030211,2601
2600,81.0,0.0030317,2611
2610,81.0,0.0030444,2621
