iterations,fitness,time,fevals
0,552.0,0.0018899,441
10,540.0,0.0034644,778
20,540.0,0.00478,1119
30,536.0,0.0059957,1458
40,532.0,0.00714439999999,1784
50,528.0,0.00818029999999,2118
60,528.0,0.00918199999999,2463
70,527.0,0.0101384,2783
80,537.0,0.011064,3113
90,539.0,0.0121533,3461
100,537.0,0.0132392,3802
110,539.0,0.0141847,4136
120,541.0,0.0151465,4467
130,541.0,0.0161536,4797
140,543.0,0.0171032,5132
150,543.0,0.0180186,5453
160,543.0,0.0190221,5790
170,549.0,0.0213376,6121
180,551.0,0.0222469,6465
190,559.0,0.0231617,6804
200,551.0,0.0241356,7126
210,549.0,0.0250793,7454
220,551.0,0.0260762,7793
230,553.0,0.0271827,8122
240,549.0,0.028125,8454
250,553.0,0.0290622,8791
260,555.0,0.029999,9114
270,555.0,0.0311006,9443
280,555.0,0.0320494,9775
290,555.0,0.0329718,10105
300,557.0,0.0338828,10436
310,559.0,0.0348631,10784
320,559.0,0.0358519,11123
330,559.0,0.0368818,11460
340,565.0,0.0378485,11802
350,561.0,0.0388318,12136
360,557.0,0.0397973,12464
370,553.0,0.0407207,12797
380,551.0,0.0416432,13128
390,555.0,0.0438553,13462
400,559.0,0.0447977,13795
410,555.0,0.0457939,14122
420,551.0,0.0467496,14453
430,551.0,0.0476657,14796
440,551.0,0.0485925,15135
450,553.0,0.0496269,15471
460,555.0,0.0505832,15820
470,553.0,0.0515014,16153
480,553.0,0.0524776,16488
490,555.0,0.0533962,16819
500,555.0,0.054466,17158
510,557.0,0.0554057,17502
520,555.0,0.0564406,17829
530,557.0,0.0573918,18149
540,559.0,0.0583714,18485
550,559.0,0.0594221,18828
560,549.0,0.0603482,19156
570,555.0,0.0613733,19490
580,551.0,0.0623587,19823
590,549.0,0.0633265,20164
600,555.0,0.0653682,20490
610,555.0,0.0662819,20817
620,545.0,0.0674549,21142
630,549.0,0.0683675,21470
640,551.0,0.0693477,21818
650,553.0,0.0703742,22149
660,553.0,0.0713327,22488
670,551.0,0.0722888,22814
680,547.0,0.0732122,23149
690,551.0,0.0741591,23488
700,549.0,0.0752863,23822
710,551.0,0.0762274,24154
720,551.0,0.0771657,24486
730,551.0,0.0786741,24830
740,549.0,0.0795881,25154
750,549.0,0.0804889,25483
760,547.0,0.0816609,25821
770,547.0,0.0825811,26163
780,549.0,0.0834898,26487
790,547.0,0.0844196,26822
800,547.0,0.0853271,27155
810,547.0,0.0875216,27494
820,547.0,0.0885056,27824
830,549.0,0.089429,28164
840,545.0,0.090473,28494
850,547.0,0.0914273,28838
860,543.0,0.0923459,29157
870,547.0,0.0933103,29489
880,547.0,0.0942924,29826
890,545.0,0.095245,30147
900,545.0,0.0961738,30483
910,549.0,0.0970878,30817
920,549.0,0.0980006,31154
930,549.0,0.0989088,31486
940,551.0,0.1000428,31816
950,551.0,0.1009886,32152
960,561.0,0.1020019,32489
970,551.0,0.1029477,32817
980,551.0,0.1039311,33148
990,551.0,0.1048465,33473
1000,557.0,0.1058401,33807
1010,559.0,0.1068484,34145
1020,555.0,0.1089518,34481
1030,551.0,0.1099378,34823
1040,551.0,0.1108546,35147
1050,549.0,0.1118267,35481
1060,553.0,0.1127427,35810
1070,551.0,0.1136752,36145
1080,551.0,0.1146931,36469
1090,553.0,0.1156217,36808
1100,553.0,0.1165256,37143
1110,555.0,0.1174429,37474
1120,555.0,0.1184578,37795
1130,557.0,0.1193795,38135
1140,555.0,0.1203048,38478
1150,557.0,0.1212634,38805
1160,557.0,0.1226029,39137
1170,561.0,0.1235184,39477
1180,559.0,0.1244327,39813
1190,563.0,0.125668,40149
1200,557.0,0.1265731,40483
1210,557.0,0.127523,40808
1220,557.0,0.1284462,41148
1230,557.0,0.1293575,41483
1240,555.0,0.1314561,41820
1250,555.0,0.1325113,42148
1260,555.0,0.1334616,42496
1270,559.0,0.1345068,42817
1280,553.0,0.1355566,43148
1290,555.0,0.1364742,43477
1300,557.0,0.1374886,43811
1310,551.0,0.1384354,44144
1320,549.0,0.1393526,44472
1330,549.0,0.1402831,44816
1340,555.0,0.1412859,45154
1350,549.0,0.1421964,45482
1360,557.0,0.1430984,45812
1370,553.0,0.1440745,46142
1380,555.0,0.1451181,46478
1390,561.0,0.1460609,46808
1400,559.0,0.1470399,47147
1410,559.0,0.148038,47482
1420,557.0,0.1489661,47815
1430,557.0,0.1499281,48145
1440,557.0,0.1508717,48482
1450,557.0,0.1529355,48817
1460,559.0,0.153866,49151
1470,559.0,0.1549375,49496
1480,557.0,0.1559425,49835
1490,557.0,0.1571114,50169
1500,557.0,0.1580325,50506
1510,556.0,0.1590215,50845
1520,554.0,0.1599316,51174
1530,556.0,0.1608665,51501
1540,557.0,0.1618133,51839
1550,557.0,0.1627292,52159
1560,555.0,0.1636423,52498
1570,555.0,0.1645928,52817
1580,557.0,0.1654959,53152
1590,555.0,0.1664612,53481
1600,556.0,0.1677384,53819
1610,555.0,0.1687278,54138
1620,559.0,0.1696575,54475
1630,563.0,0.1705888,54813
1640,565.0,0.17152,55143
1650,563.0,0.1724373,55472
1660,565.0,0.1745581,55806
1670,567.0,0.1755262,56134
1680,569.0,0.1765505,56464
1690,565.0,0.1774696,56808
1700,565.0,0.1784257,57143
1710,565.0,0.1793913,57469
1720,567.0,0.1803666,57797
1730,567.0,0.1814573,58124
1740,569.0,0.1824062,58471
1750,565.0,0.1833407,58813
1760,567.0,0.1842856,59143
1770,569.0,0.1852052,59483
1780,567.0,0.1861395,59820
1790,567.0,0.1870465,60149
1800,567.0,0.1881451,60494
1810,569.0,0.1890882,60830
1820,567.0,0.190109,61162
1830,569.0,0.191024,61502
1840,569.0,0.1919297,61838
1850,575.0,0.1929684,62160
1860,569.0,0.1939116,62495
1870,569.0,0.196236,62818
1880,565.0,0.1971492,63156
1890,565.0,0.198098,63499
1900,569.0,0.1990066,63841
1910,569.0,0.1999362,64167
1920,569.0,0.2008729,64504
1930,573.0,0.202234,64842
1940,563.0,0.2032406,65175
1950,569.0,0.204337,65511
1960,571.0,0.2052646,65835
1970,571.0,0.2061825,66173
1980,577.0,0.2071059,66510
1990,577.0,0.2080785,66841
2000,581.0,0.2091831,67176
2010,581.0,0.2100855,67503
2020,583.0,0.2110928,67836
2030,573.0,0.2120154,68177
2040,577.0,0.2129734,68511
2050,575.0,0.2140557,68842
2060,573.0,0.2150232,69172
2070,573.0,0.2161552,69501
2080,573.0,0.2183957,69832
2090,573.0,0.2193106,70166
2100,573.0,0.2202531,70514
2110,575.0,0.2212063,70857
2120,571.0,0.2221402,71182
2130,571.0,0.2230794,71517
2140,569.0,0.2239902,71860
2150,567.0,0.2250817,72193
2160,569.0,0.2260468,72522
2170,569.0,0.2269925,72844
2180,571.0,0.2280279,73181
2190,569.0,0.2290253,73499
2200,569.0,0.2299389,73831
2210,569.0,0.230899,74176
2220,565.0,0.2318035,74506
2230,567.0,0.2327864,74837
2240,567.0,0.2338089,75169
2250,571.0,0.2350774,75507
2260,569.0,0.2360685,75843
2270,567.0,0.2370303,76179
2280,567.0,0.2380438,76512
2290,563.0,0.2390153,76842
2300,567.0,0.2411633,77180
2310,565.0,0.2420774,77516
2320,561.0,0.2429991,77853
2330,561.0,0.2440558,78193
2340,559.0,0.2450058,78533
2350,559.0,0.2460365,78871
2360,557.0,0.2470235,79204
2370,557.0,0.2479963,79533
2380,557.0,0.2489031,79859
2390,557.0,0.2498249,80194
2400,559.0,0.2508557,80548
2410,559.0,0.2517773,80888
2420,559.0,0.2526755,81220
2430,559.0,0.2536597,81553
2440,559.0,0.2545908,81883
2450,559.0,0.2554989,82214
2460,565.0,0.2564898,82551
2470,567.0,0.2575025,82882
2480,563.0,0.2585733,83213
2490,561.0,0.259603,83548
2500,561.0,0.2605289,83879
2510,561.0,0.2626309,84204
2520,557.0,0.2635728,84538
2530,555.0,0.2645751,84884
2540,561.0,0.265492,85217
2550,559.0,0.2663875,85552
2560,561.0,0.2673684,85889
2570,561.0,0.2684067,86208
2580,559.0,0.2693623,86546
2590,561.0,0.2704537,86884
2600,562.0,0.2713835,87219
2610,559.0,0.2723036,87555
2620,561.0,0.2732695,87889
2630,565.0,0.2741823,88222
