iterations,fitness,time,fevals
0,518.0,3.84e-05,11
10,520.0,0.000112,21
20,524.0,0.0001448,31
30,526.0,0.0001816,41
40,528.0,0.0002401,51
50,530.0,0.0002676,61
60,532.0,0.0003016,71
70,534.0,0.0003236,81
80,536.0,0.0003511,91
90,538.0,0.0003772,101
100,538.0,0.0004003,111
110,542.0,0.0004344,121
120,544.0,0.0004652,131
130,544.0,0.0004877,141
140,544.0,0.0006298,151
150,548.0,0.0006622,161
160,550.0,0.0006827,171
170,554.0,0.0007028,181
180,554.0,0.0007369,191
190,554.0,0.000763,201
200,556.0,0.0007878,211
210,558.0,0.0008126,221
220,558.0,0.0008444,231
230,560.0,0.0008711,241
240,562.0,0.0008899,251
250,564.0,0.0009114,261
260,566.0,0.0009378,271
270,566.0,0.0009694,281
280,566.0,0.0009915,291
290,570.0,0.0010304,301
300,574.0,0.001057,311
310,574.0,0.0010756,321
320,574.0,0.0010924,331
330,576.0,0.0011115,341
340,578.0,0.0011293,351
350,582.0,0.0011465,361
360,582.0,0.0011733,371
370,584.0,0.0011931,381
380,591.0,0.0012097,391
390,599.0,0.0012268,401
400,601.0,0.0012522,411
410,601.0,0.0012713,421
420,601.0,0.0012893,431
430,603.0,0.0013067,441
440,603.0,0.0013245,451
450,605.0,0.001342,461
460,605.0,0.0013717,471
470,605.0,0.0014021,481
480,605.0,0.0014236,491
490,605.0,0.0014727,501
500,607.0,0.0015026,511
510,611.0,0.0015371,521
520,611.0,0.0015689,531
530,613.0,0.0016076,541
540,613.0,0.0016317,551
550,615.0,0.0016494,561
560,617.0,0.0016659,571
570,619.0,0.0016825,581
580,619.0,0.001699,591
590,621.0,0.0017184,601
600,623.0,0.001738,611
610,625.0,0.0017729,621
620,625.0,0.0017918,631
630,625.0,0.001808,641
640,625.0,0.0018283,651
650,627.0,0.0018482,661
660,633.0,0.0018727,671
670,635.0,0.0018913,681
680,637.0,0.0019084,691
690,637.0,0.001929,701
700,637.0,0.0019475,711
710,637.0,0.0019635,721
720,639.0,0.001982,731
730,639.0,0.002,741
740,639.0,0.0020221,751
750,641.0,0.0020564,761
760,641.0,0.0020759,771
770,645.0,0.0020953,781
780,649.0,0.002113,791
790,649.0,0.0021305,801
800,649.0,0.0021487,811
810,651.0,0.0021657,821
820,651.0,0.0021827,831
830,655.0,0.0021998,841
840,655.0,0.0022243,851
850,655.0,0.0022506,861
860,659.0,0.0022754,871
870,661.0,0.002301,881
880,663.0,0.0023252,891
890,663.0,0.0023457,901
900,663.0,0.0023742,911
910,667.0,0.0023925,921
920,667.0,0.0024137,931
930,667.0,0.002434,941
940,669.0,0.0024534,951
950,671.0,0.0024915,961
960,671.0,0.0025295,971
970,671.0,0.0025603,981
980,673.0,0.0025847,991
990,675.0,0.0026151,1001
1000,675.0,0.0026327,1011
1010,675.0,0.002652,1021
1020,679.0,0.002669,1031
1030,679.0,0.0026862,1041
1040,681.0,0.0027061,1051
1050,681.0,0.0027271,1061
1060,681.0,0.0027489,1071
1070,683.0,0.0027667,1081
1080,683.0,0.0027844,1091
1090,683.0,0.0028016,1101
1100,683.0,0.0028189,1111
1110,683.0,0.002849,1121
1120,683.0,0.0028739,1131
1130,683.0,0.0028967,1141
1140,683.0,0.002917,1151
1150,685.0,0.0029345,1161
1160,685.0,0.0029558,1171
1170,685.0,0.0029781,1181
1180,687.0,0.002996,1191
1190,687.0,0.0030129,1201
1200,687.0,0.0030293,1211
1210,689.0,0.0030459,1221
1220,689.0,0.0030643,1231
1230,689.0,0.0030806,1241
1240,691.0,0.0031116,1251
1250,691.0,0.003131,1261
1260,691.0,0.0031553,1271
1270,693.0,0.0031753,1281
1280,693.0,0.0031961,1291
1290,693.0,0.0032171,1301
1300,695.0,0.003235,1311
1310,695.0,0.0032635,1321
1320,695.0,0.0032861,1331
1330,695.0,0.0033062,1341
1340,697.0,0.0033259,1351
1350,697.0,0.0033441,1361
1360,697.0,0.0033612,1371
1370,697.0,0.0033819,1381
1380,697.0,0.0034041,1391
1390,701.0,0.0034349,1401
1400,701.0,0.0034661,1411
1410,703.0,0.0034932,1421
1420,703.0,0.0035179,1431
1430,703.0,0.0035471,1441
