iterations,fitness,time,fevals
0,511.0,2.71000000001e-05,11
10,509.0,4.87000000002e-05,21
20,511.0,7.42000000002e-05,31
30,503.0,9.54000000002e-05,41
40,503.0,0.000142400000001,51
50,505.0,0.000190700000001,61
60,505.0,0.0002229,71
70,507.0,0.0002496,81
80,509.0,0.0002943,91
90,513.0,0.0003365,101
100,513.0,0.0003791,111
110,515.0,0.000421499999999,121
120,507.0,0.000449299999999,131
130,507.0,0.000472199999999,141
140,503.0,0.000492299999999,151
150,505.0,0.000511099999999,161
160,509.0,0.000532099999999,171
170,509.0,0.000575199999999,181
180,513.0,0.000599599999999,191
190,515.0,0.0006409,201
200,511.0,0.000675,211
210,513.0,0.0007036,221
220,507.0,0.000737399999999,231
230,505.0,0.000783299999999,241
240,507.0,0.000813,251
250,507.0,0.0008344,261
260,509.0,0.0008557,271
270,509.0,0.0008763,281
280,507.0,0.0009008,291
290,505.0,0.0009193,301
300,503.0,0.0009391,311
310,499.0,0.0009591,321
320,503.0,0.000979,331
330,501.0,0.0009978,341
340,505.0,0.0010162,351
350,509.0,0.0010352,361
360,505.0,0.0010782,371
370,503.0,0.00111,381
380,499.0,0.0011444,391
390,499.0,0.001179,401
400,497.0,0.0012029,411
410,497.0,0.0012476,421
420,497.0,0.0012722,431
430,497.0,0.001294,441
440,497.0,0.0013138,451
450,499.0,0.0013339,461
460,503.0,0.0013539,471
470,507.0,0.0013738,481
480,509.0,0.0013942,491
490,511.0,0.0014267,501
500,515.0,0.0014496,511
510,521.0,0.0014766,521
520,523.0,0.0014987,531
530,525.0,0.0015219,541
540,527.0,0.0015494,551
550,527.0,0.0015699,561
560,529.0,0.0015944,571
570,529.0,0.001616,581
580,537.0,0.0016595,591
590,537.0,0.0016866,601
600,537.0,0.0017325,611
610,539.0,0.0017559,621
620,539.0,0.0017744,631
630,545.0,0.0018041,641
640,545.0,0.0018345,651
650,547.0,0.0018792,661
660,551.0,0.0019011,671
670,555.0,0.0019267,681
680,557.0,0.001948,691
690,559.0,0.0019713,701
700,563.0,0.0020042,711
710,565.0,0.0020264,721
720,565.0,0.0020472,731
730,565.0,0.0020663,741
740,565.0,0.002096,751
750,565.0,0.0021196,761
760,567.0,0.0021388,771
770,569.0,0.0021692,781
780,571.0,0.0021996,791
790,571.0,0.0022291,801
800,575.0,0.0022567,811
810,575.0,0.0022785,821
820,577.0,0.0022975,831
830,577.0,0.0023154,841
840,579.0,0.0023436,851
850,581.0,0.0023644,861
860,581.0,0.0023822,871
870,581.0,0.0024258,881
880,585.0,0.002448,891
890,585.0,0.0024662,901
900,587.0,0.0024856,911
910,589.0,0.0025064,921
920,589.0,0.0025233,931
930,591.0,0.0025421,941
940,595.0,0.0025607,951
950,595.0,0.0025781,961
960,597.0,0.0026096,971
970,599.0,0.0026335,981
980,601.0,0.002687,991
990,603.0,0.0027137,1001
1000,605.0,0.0027433,1011
1010,609.0,0.0027708,1021
1020,611.0,0.0027945,1031
1030,611.0,0.002832,1041
1040,613.0,0.0028697,1051
1050,619.0,0.0028913,1061
1060,621.0,0.0029322,1071
1070,623.0,0.0029537,1081
1080,623.0,0.0029741,1091
1090,625.0,0.0029936,1101
1100,627.0,0.0030119,1111
1110,627.0,0.0030301,1121
1120,627.0,0.0030477,1131
1130,629.0,0.0030842,1141
1140,631.0,0.0031114,1151
1150,633.0,0.003132,1161
1160,633.0,0.0031584,1171
1170,633.0,0.0031789,1181
1180,633.0,0.0031966,1191
1190,639.0,0.0032343,1201
1200,643.0,0.0032563,1211
1210,643.0,0.0032754,1221
1220,647.0,0.0032937,1231
1230,649.0,0.0033128,1241
1240,649.0,0.0033322,1251
1250,651.0,0.0033742,1261
1260,653.0,0.0034028,1271
1270,653.0,0.0034384,1281
1280,653.0,0.0034644,1291
1290,654.0,0.0034902,1301
1300,654.0,0.0035093,1311
1310,654.0,0.0035391,1321
1320,654.0,0.0035588,1331
1330,654.0,0.0035783,1341
1340,654.0,0.0036132,1351
1350,654.0,0.0036387,1361
1360,654.0,0.0036569,1371
1370,654.0,0.0036747,1381
1380,654.0,0.0036963,1391
1390,656.0,0.0037249,1401
1400,656.0,0.0037447,1411
1410,656.0,0.0037696,1421
1420,660.0,0.0037939,1431
1430,660.0,0.0038161,1441
1440,660.0,0.0038372,1451
1450,662.0,0.0038617,1461
1460,666.0,0.0038893,1471
1470,668.0,0.0039257,1481
1480,668.0,0.0039475,1491
1490,668.0,0.0039678,1501
1500,668.0,0.0039947,1511
1510,670.0,0.0040163,1521
1520,670.0,0.004035,1531
1530,672.0,0.0040543,1541
1540,674.0,0.00408,1551
1550,674.0,0.0041013,1561
1560,674.0,0.00412,1571
1570,676.0,0.0041384,1581
1580,678.0,0.0041555,1591
1590,680.0,0.0041913,1601
1600,682.0,0.0042182,1611
1610,682.0,0.0042382,1621
1620,682.0,0.0042563,1631
1630,684.0,0.0042833,1641
1640,684.0,0.0043174,1651
1650,684.0,0.004345,1661
1660,686.0,0.0043722,1671
1670,686.0,0.0043967,1681
1680,690.0,0.0044176,1691
1690,692.0,0.0044422,1701
1700,692.0,0.004461,1711
1710,692.0,0.0044831,1721
1720,694.0,0.0045022,1731
1730,696.0,0.0045374,1741
1740,698.0,0.004558,1751
1750,702.0,0.0045773,1761
1760,704.0,0.0046041,1771
1770,704.0,0.0046217,1781
1780,704.0,0.004655,1791
1790,704.0,0.0046846,1801
1800,704.0,0.0047197,1811
1810,706.0,0.0047403,1821
1820,708.0,0.0047601,1831
1830,708.0,0.0047823,1841
1840,708.0,0.0048151,1851
1850,708.0,0.004837,1861
1860,708.0,0.0048555,1871
1870,708.0,0.0048811,1881
1880,710.0,0.0049032,1891
1890,710.0,0.0049243,1901
1900,713.0,0.0049459,1911
1910,713.0,0.004966,1921
1920,713.0,0.0049915,1931
1930,713.0,0.0050158,1941
1940,713.0,0.0050349,1951
1950,713.0,0.0050538,1961
1960,717.0,0.0050742,1971
1970,717.0,0.0051027,1981
1980,717.0,0.0051236,1991
1990,717.0,0.0051435,2001
2000,717.0,0.0051679,2011
2010,717.0,0.0051868,2021
2020,719.0,0.0052131,2031
2030,721.0,0.0052326,2041
2040,721.0,0.005258,2051
2050,721.0,0.0052796,2061
2060,725.0,0.0053117,2071
2070,725.0,0.0053428,2081
2080,725.0,0.0053658,2091
2090,727.0,0.0053924,2101
2100,727.0,0.0054102,2111
2110,727.0,0.0054433,2121
2120,729.0,0.0054688,2131
2130,731.0,0.005493,2141
2140,733.0,0.0055126,2151
2150,737.0,0.0055307,2161
2160,741.0,0.0055564,2171
2170,741.0,0.0055812,2181
2180,741.0,0.0055991,2191
2190,741.0,0.0056259,2201
2200,743.0,0.0056458,2211
2210,745.0,0.0056693,2221
2220,747.0,0.0056926,2231
2230,747.0,0.0057123,2241
2240,747.0,0.0057354,2251
2250,747.0,0.0057549,2261
2260,751.0,0.0057733,2271
2270,751.0,0.0057918,2281
2280,753.0,0.0058099,2291
2290,753.0,0.0058268,2301
2300,753.0,0.0058532,2311
2310,755.0,0.0058825,2321
2320,755.0,0.0059037,2331
2330,757.0,0.0059222,2341
2340,757.0,0.0059489,2351
2350,761.0,0.0059712,2361
2360,761.0,0.0059939,2371
2370,761.0,0.0060118,2381
2380,761.0,0.0060304,2391
2390,761.0,0.010116,2401
2400,761.0,0.0101497,2411
2410,761.0,0.0101739,2421
2420,761.0,0.0101968,2431
2430,761.0,0.010215,2441
2440,761.0,0.0102324,2451
2450,761.0,0.0102531,2461
2460,761.0,0.0102721,2471
2470,761.0,0.0102895,2481
2480,763.0,0.0103078,2491
2490,763.0,0.0103268,2501
2500,763.0,0.0103445,2511
2510,765.0,0.0103719,2521
2520,765.0,0.0103908,2531
2530,765.0,0.0104085,2541
2540,765.0,0.0104255,2551
2550,765.0,0.0104427,2561
2560,767.0,0.010467,2571
2570,767.0,0.0104897,2581
2580,767.0,0.0105126,2591
2590,767.0,0.0105336,2601
2600,767.0,0.0105525,2611
2610,767.0,0.0105832,2621
2620,767.0,0.0106069,2631
2630,767.0,0.0106255,2641
2640,767.0,0.0106433,2651
2650,767.0,0.0106661,2661
2660,769.0,0.0106878,2671
2670,769.0,0.0107864,2681
2680,769.0,0.0108094,2691
2690,769.0,0.0108309,2701
2700,769.0,0.0108505,2711
2710,769.0,0.0108722,2721
2720,771.0,0.0108953,2731
2730,773.0,0.0109169,2741
2740,773.0,0.0109363,2751
2750,773.0,0.0109536,2761
2760,773.0,0.0109715,2771
2770,773.0,0.0110076,2781
2780,773.0,0.0110298,2791
2790,773.0,0.0110474,2801
2800,773.0,0.0110656,2811
2810,773.0,0.0110836,2821
2820,773.0,0.0111012,2831
2830,773.0,0.0111196,2841
2840,773.0,0.011138,2851
2850,773.0,0.0111548,2861
2860,773.0,0.0111726,2871
2870,773.0,0.0111917,2881
2880,775.0,0.01121,2891
2890,775.0,0.0112275,2901
2900,775.0,0.0112444,2911
2910,775.0,0.0112655,2921
2920,775.0,0.0112831,2931
2930,775.0,0.0112996,2941
2940,777.0,0.0113164,2951
2950,777.0,0.0113347,2961
2960,777.0,0.0113522,2971
2970,781.0,0.0113754,2981
2980,781.0,0.0113945,2991
2990,781.0,0.0114139,3001
3000,781.0,0.0114314,3011
3010,781.0,0.0114488,3021
3020,781.0,0.0114705,3031
3030,781.0,0.0114908,3041
3040,783.0,0.0115116,3051
3050,783.0,0.0115339,3061
3060,783.0,0.0115514,3071
3070,783.0,0.0115757,3081
3080,783.0,0.0115941,3091
3090,783.0,0.011612,3101
3100,783.0,0.0116374,3111
3110,785.0,0.0116574,3121
3120,785.0,0.0116767,3131
3130,787.0,0.0116946,3141
3140,787.0,0.0117182,3151
3150,787.0,0.0117371,3161
3160,789.0,0.0117564,3171
3170,791.0,0.0117867,3181
3180,791.0,0.0118095,3191
3190,791.0,0.0118322,3201
3200,791.0,0.0118571,3211
3210,791.0,0.0118776,3221
3220,791.0,0.0118999,3231
3230,791.0,0.0119293,3241
3240,791.0,0.0119528,3251
3250,791.0,0.0119742,3261
3260,791.0,0.0119936,3271
3270,791.0,0.0120129,3281
3280,791.0,0.0120303,3291
3290,791.0,0.0120479,3301
3300,791.0,0.0120659,3311
3310,791.0,0.0120831,3321
3320,791.0,0.0121007,3331
3330,791.0,0.012118,3341
3340,791.0,0.0121355,3351
3350,791.0,0.0121535,3361
3360,791.0,0.0121795,3371
3370,791.0,0.0122057,3381
3380,791.0,0.0122258,3391
3390,791.0,0.0122436,3401
3400,793.0,0.0122618,3411
3410,793.0,0.0122799,3421
3420,793.0,0.0123047,3431
3430,793.0,0.0123298,3441
