iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.868801732788,0.88605171329,0.877429532906,0.11546875,0.100625,0.1085,0.101562126515,0.0883278346025,0.0982835157367,32.2022258
10,0.869197071459,0.886154845551,0.87778128156,0.1146875,0.100625,0.109,0.101032289209,0.0882996669108,0.0986930956247,259.473021799
20,0.86894582916,0.886094569703,0.877840607518,0.115,0.100625,0.11,0.10120016686,0.0882892011861,0.0991881125145,474.816782501
30,0.869310351662,0.886373879716,0.878042790743,0.1146875,0.1,0.109,0.10068349242,0.0877261211861,0.0984539738896,676.3008574
40,0.868909269016,0.886289772041,0.877696932734,0.11515625,0.1,0.11,0.101231532528,0.0877440252422,0.0992399367161,847.650872798
50,0.868517413597,0.886374518233,0.877497846272,0.11609375,0.099375,0.11,0.101878873591,0.0874659609923,0.0992614105792,999.257894498
60,0.868538734316,0.88664257526,0.877469502763,0.11609375,0.099375,0.1105,0.101651468499,0.0875065058563,0.0996181740985,1150.8781834
70,0.868966503148,0.886368611404,0.877668883571,0.115625,0.099375,0.11,0.101303689772,0.08754556107,0.0994867122586,1302.0399784
80,0.872721499557,0.88855452266,0.881197390469,0.11109375,0.0975,0.104,0.0983261127132,0.0865964842074,0.0950258094626,1453.0745152
90,0.873163059613,0.889928012885,0.880802992434,0.1103125,0.09625,0.1045,0.0975298512225,0.0851061414206,0.0952250644244,1605.3876357
100,0.873433348868,0.890023877763,0.8812742728,0.11046875,0.09625,0.104,0.0979117290454,0.0852311833617,0.0949630294385,1764.5485429
110,0.873686496454,0.889967500498,0.881329825961,0.1096875,0.096875,0.103,0.0972107710741,0.0862380071462,0.0941624873257,1923.5053156
120,0.87347806578,0.889619616231,0.881364911471,0.1103125,0.0975,0.1035,0.0978795582725,0.086532300514,0.0946907396483,2078.9209694
130,0.873423272857,0.889480434233,0.881317068837,0.11015625,0.0975,0.1035,0.0977694051206,0.0865424450061,0.0946796204859,2240.6372481
140,0.873319606743,0.889248495959,0.881151360106,0.11015625,0.0975,0.1035,0.0976059995185,0.0863909830283,0.0946856775291,2395.2975859
