iterations,fitness,time,fevals
0,23.0,0.0005691,645
10,28.0,0.0010473,1197
20,29.0,0.0014965,1745
30,30.0,0.001919,2290
40,29.0,0.0022984,2829
50,30.0,0.0026839,3382
60,31.0,0.0031973,3926
70,30.0,0.0035572,4474
80,31.0,0.0039018,5021
90,31.0,0.004248,5581
100,32.0,0.0045957,6136
110,35.0,0.0049368,6687
120,36.0,0.0052612,7233
130,32.0,0.0055881,7784
140,32.0,0.0059035,8334
150,33.0,0.0062113,8884
160,33.0,0.0065394,9429
170,34.0,0.0068677,9980
180,34.0,0.0071731,10519
190,35.0,0.0075434,11068
200,34.0,0.0093102,11606
210,34.0,0.0096234,12156
220,35.0,0.0099352,12706
230,35.0,0.0102421,13250
240,36.0,0.0105478,13801
250,36.0,0.0108992,14348
260,36.0,0.0112019,14892
270,35.0,0.0114989,15441
280,36.0,0.0117919,15988
290,36.0,0.0120834,16535
300,36.0,0.0123988,17084
310,36.0,0.0127068,17621
320,36.0,0.0130113,18171
330,36.0,0.0133195,18719
340,36.0,0.0136383,19273
350,36.0,0.0139418,19819
360,36.0,0.0142401,20362
370,36.0,0.0145388,20910
380,36.0,0.0148428,21462
390,37.0,0.0151835,22009
400,38.0,0.0155839,22564
410,37.0,0.015912,23117
420,37.0,0.0162809,23666
430,36.0,0.0166105,24216
440,37.0,0.0169281,24765
450,37.0,0.0172643,25315
460,38.0,0.0176003,25861
470,38.0,0.0179387,26413
480,38.0,0.0183126,26957
490,38.0,0.0186505,27506
500,38.0,0.0189701,28048
510,38.0,0.0192829,28591
520,38.0,0.0195898,29143
530,38.0,0.0199004,29685
540,38.0,0.0202203,30223
550,38.0,0.0205436,30773
560,38.0,0.020877,31316
570,39.0,0.0211952,31864
580,39.0,0.0215277,32419
590,39.0,0.021857,32962
600,39.0,0.0222204,33510
610,39.0,0.0225675,34059
620,39.0,0.0229207,34608
630,40.0,0.0232501,35163
640,40.0,0.0235747,35710
650,40.0,0.0238848,36249
660,40.0,0.0242047,36796
670,40.0,0.0245155,37343
680,40.0,0.0248488,37887
690,41.0,0.0251661,38427
700,41.0,0.0254645,38980
710,41.0,0.0257603,39538
720,41.0,0.0260465,40071
730,42.0,0.0263392,40611
740,43.0,0.0266249,41158
750,43.0,0.0269157,41703
760,43.0,0.0272541,42241
770,43.0,0.0275617,42786
780,43.0,0.0278705,43338
790,43.0,0.028168,43887
800,43.0,0.028459,44435
810,42.0,0.0288226,44984
820,42.0,0.0291295,45528
830,43.0,0.0294347,46078
840,43.0,0.0297352,46622
850,43.0,0.0300348,47172
860,43.0,0.0303341,47727
870,43.0,0.0306274,48269
880,43.0,0.0309238,48815
890,43.0,0.0312308,49360
900,44.0,0.0315755,49906
910,44.0,0.0320644,50464
920,44.0,0.0324142,51017
930,44.0,0.0327537,51560
940,44.0,0.0331797,52106
950,44.0,0.0335003,52649
960,44.0,0.0338175,53193
970,44.0,0.0342168,53739
980,44.0,0.0345467,54279
990,44.0,0.0348918,54821
1000,48.0,0.0352371,55367
1010,50.0,0.035608,55919
1020,48.0,0.0363145,56464
1030,48.0,0.0366946,57003
1040,45.0,0.0370528,57549
1050,46.0,0.0374135,58103
1060,45.0,0.0378546,58645
1070,57.0,0.0382107,59203
1080,59.0,0.0385627,59748
1090,57.0,0.0388991,60299
1100,57.0,0.0392614,60840
1110,57.0,0.0395824,61390
1120,57.0,0.0399066,61935
1130,57.0,0.0402474,62481
1140,57.0,0.0405606,63034
1150,57.0,0.0408774,63581
1160,58.0,0.0411716,64123
1170,57.0,0.0414752,64666
