iterations,fitness,time,fevals
0,23.0,0.0618818,1000
10,32.0,0.1173844,2100
20,39.0,0.1658927,3200
30,43.0,0.2069575,4300
40,40.0,0.2471354,5400
50,51.0,0.2850175,6500
60,40.0,0.3220552,7600
70,49.0,0.3609821,8700
80,54.0,0.4019489,9800
90,56.0,0.440909,10900
100,57.0,0.4782769,12000
110,59.0,0.5140777,13100
120,59.0,0.5500149,14200
130,56.0,0.584148,15300
140,57.0,0.6185603,16400
150,56.0,0.6524692,17500
160,57.0,0.6878689,18600
170,61.0,0.723537,19700
180,59.0,0.7574448,20800
190,57.0,0.7916759,21900
200,57.0,0.82479,23000
210,59.0,0.8590275,24100
220,59.0,0.8919794,25200
230,59.0,0.9253356,26300
240,74.0,0.9607954,27400
250,61.0,0.9942208,28500
260,61.0,1.0288817,29600
270,60.0,1.0634278,30700
280,59.0,1.098199,31800
290,62.0,1.1338102,32900
300,56.0,1.1670571,34000
310,57.0,1.2018366,35100
320,62.0,1.2357038,36200
330,61.0,1.2698367,37300
340,60.0,1.3060372,38400
350,60.0,1.3416558,39500
360,57.0,1.3762014,40600
370,56.0,1.4120132,41700
380,61.0,1.4469,42800
390,58.0,1.4818422,43900
400,60.0,1.5173054,45000
410,58.0,1.5536167,46100
420,59.0,1.5879944,47200
430,59.0,1.623247,48300
440,62.0,1.6571854,49400
450,59.0,1.6918542,50500
460,56.0,1.7262338,51600
470,60.0,1.7612364,52700
480,59.0,1.7969138,53800
490,60.0,1.8320504,54900
500,62.0,1.8673428,56000
510,59.0,1.9012156,57100
520,60.0,1.9350754,58200
530,59.0,1.9700442,59300
540,57.0,2.0050862,60400
550,60.0,2.0396488,61500
560,58.0,2.0749547,62600
570,69.0,2.1111359,63700
580,66.0,2.148385,64800
590,69.0,2.1849694,65900
600,66.0,2.220757,67000
610,66.0,2.257268,68100
620,62.0,2.2932187,69200
630,69.0,2.3277309,70300
640,70.0,2.3610612,71400
650,81.0,2.3959141,72500
660,81.0,2.4305904,73600
670,81.0,2.4668156,74700
680,81.0,2.5026541,75800
690,81.0,2.5376094,76900
700,81.0,2.5729141,78000
710,81.0,2.6081953,79100
720,81.0,2.6432462,80200
730,71.0,2.6779245,81300
740,81.0,2.7130159,82400
750,81.0,2.7494869,83500
760,81.0,2.7849788,84600
770,85.0,2.8203496,85700
780,81.0,2.8554758,86800
790,71.0,2.8903931,87900
800,71.0,2.9238464,89000
810,81.0,2.9584345,90100
820,71.0,2.9928592,91200
830,69.0,3.0268171,92300
840,70.0,3.0605525,93400
850,81.0,3.0951856,94500
860,73.0,3.1306985,95600
870,70.0,3.1665907,96700
880,71.0,3.2022663,97800
890,83.0,3.2378139,98900
900,70.0,3.272085,100000
910,68.0,3.3079024,101100
920,71.0,3.3421763,102200
930,81.0,3.3758446,103300
940,71.0,3.4106926,104400
950,81.0,3.4476068,105500
960,81.0,3.5015737,106600
