iterations,fitness,time,fevals
0,16.0,0.0001957,11
10,16.0,0.0003362,21
20,16.0,0.0004698,31
30,16.0,0.0006027,41
40,17.0,0.0007523,51
50,17.0,0.0009837,61
60,17.0,0.001675,71
70,17.0,0.0018533,81
80,17.0,0.0019919,91
90,17.0,0.0023483,101
100,17.0,0.0024636,111
110,17.0,0.0025326,121
120,17.0,0.0026178,131
130,17.0,0.0026937,141
140,17.0,0.0027889,151
150,17.0,0.0031458,161
160,17.0,0.0032362,171
170,17.0,0.0032993,181
180,17.0,0.0033858,191
190,17.0,0.0034509,201
200,17.0,0.0036204,211
210,17.0,0.0036828,221
220,17.0,0.0038163,231
230,17.0,0.0038826,241
240,17.0,0.0039545,251
250,17.0,0.0040872,261
260,17.0,0.0041568,271
270,17.0,0.0042317,281
280,17.0,0.004314,291
290,17.0,0.0043804,301
300,17.0,0.004438,311
310,18.0,0.0045184,321
320,18.0,0.0046315,331
330,18.0,0.0046882,341
340,19.0,0.0047391,351
350,19.0,0.0048503,361
360,20.0,0.0049047,371
370,20.0,0.0049552,381
380,20.0,0.00501,391
390,20.0,0.0050647,401
400,20.0,0.0050988,411
410,20.0,0.0051315,421
420,20.0,0.0051622,431
430,20.0,0.0051978,441
440,20.0,0.0052313,451
450,20.0,0.0052664,461
460,20.0,0.0052954,471
470,20.0,0.0053262,481
480,20.0,0.0053599,491
490,20.0,0.0053918,501
500,20.0,0.0054236,511
510,20.0,0.0055615,521
520,20.0,0.0055939,531
530,20.0,0.0056326,541
540,20.0,0.0056867,551
550,20.0,0.0057179,561
560,20.0,0.0057469,571
570,20.0,0.0057804,581
580,20.0,0.0058426,591
590,20.0,0.0059128,601
600,20.0,0.0059542,611
610,20.0,0.0059798,621
620,20.0,0.0060031,631
630,20.0,0.0060307,641
640,20.0,0.006063,651
650,20.0,0.0060961,661
660,20.0,0.0061273,671
670,20.0,0.0061578,681
680,20.0,0.006204,691
690,20.0,0.0062617,701
700,20.0,0.0062877,711
710,20.0,0.0063172,721
720,20.0,0.0063472,731
730,20.0,0.0063704,741
740,20.0,0.0063985,751
750,20.0,0.006427,761
760,21.0,0.006455,771
770,22.0,0.0064813,781
780,22.0,0.0065096,791
790,23.0,0.0065354,801
800,23.0,0.0065636,811
810,23.0,0.0065884,821
820,23.0,0.0066128,831
830,23.0,0.0066398,841
840,23.0,0.0066671,851
850,23.0,0.0066965,861
860,23.0,0.0067222,871
870,23.0,0.0067571,881
880,23.0,0.0067865,891
890,23.0,0.0068152,901
900,23.0,0.0068459,911
910,23.0,0.0068811,921
920,23.0,0.0069123,931
930,23.0,0.0069644,941
940,23.0,0.0069954,951
950,23.0,0.0070265,961
960,23.0,0.0070551,971
970,23.0,0.0070849,981
980,23.0,0.007115,991
990,23.0,0.007144,1001
1000,23.0,0.0071697,1011
1010,23.0,0.0072246,1021
1020,23.0,0.0072535,1031
1030,24.0,0.0072788,1041
1040,24.0,0.0073048,1051
1050,25.0,0.007329,1061
1060,25.0,0.0073539,1071
1070,25.0,0.0073789,1081
1080,25.0,0.0074025,1091
1090,25.0,0.0074311,1101
1100,25.0,0.0074588,1111
1110,25.0,0.0074802,1121
1120,25.0,0.0075065,1131
1130,25.0,0.0075306,1141
1140,25.0,0.0075531,1151
1150,25.0,0.0075965,1161
1160,25.0,0.007634,1171
1170,25.0,0.0076599,1181
1180,31.0,0.0077615,1191
1190,34.0,0.007841,1201
1200,34.0,0.0079272,1211
1210,34.0,0.0079805,1221
1220,34.0,0.0082003,1231
1230,35.0,0.0082451,1241
1240,35.0,0.0083375,1251
1250,35.0,0.0083888,1261
1260,35.0,0.0084442,1271
1270,37.0,0.0084966,1281
1280,37.0,0.0086037,1291
1290,45.0,0.0086562,1301
1300,45.0,0.0087017,1311
1310,45.0,0.008859,1321
1320,45.0,0.0089331,1331
1330,45.0,0.0089746,1341
1340,45.0,0.0090973,1351
1350,45.0,0.0091808,1361
1360,45.0,0.0092232,1371
1370,46.0,0.0092633,1381
1380,47.0,0.0093045,1391
1390,47.0,0.0093859,1401
1400,47.0,0.00943,1411
1410,47.0,0.0094756,1421
1420,47.0,0.0095146,1431
1430,47.0,0.0098009,1441
1440,47.0,0.0098467,1451
1450,47.0,0.0098827,1461
1460,47.0,0.0099046,1471
1470,47.0,0.0099256,1481
1480,47.0,0.009947,1491
1490,47.0,0.0099766,1501
1500,47.0,0.0099975,1511
1510,47.0,0.010022,1521
1520,47.0,0.0100427,1531
1530,47.0,0.0100642,1541
1540,47.0,0.0100905,1551
1550,47.0,0.0101135,1561
1560,47.0,0.0101338,1571
1570,47.0,0.0101541,1581
1580,47.0,0.0101723,1591
1590,47.0,0.0101915,1601
1600,47.0,0.0102112,1611
1610,47.0,0.0102374,1621
1620,47.0,0.0102589,1631
1630,47.0,0.0102815,1641
1640,47.0,0.0103012,1651
1650,47.0,0.0103218,1661
1660,48.0,0.0103431,1671
1670,48.0,0.0103663,1681
1680,48.0,0.0104001,1691
1690,49.0,0.0104236,1701
1700,50.0,0.0104437,1711
1710,50.0,0.0104663,1721
1720,50.0,0.0104869,1731
1730,51.0,0.0105073,1741
1740,51.0,0.0105249,1751
1750,51.0,0.0105472,1761
1760,51.0,0.0105642,1771
1770,51.0,0.0105842,1781
1780,51.0,0.010606,1791
1790,52.0,0.0106269,1801
1800,54.0,0.0106458,1811
1810,56.0,0.010664,1821
1820,56.0,0.010687,1831
1830,56.0,0.0107095,1841
1840,56.0,0.0107331,1851
1850,56.0,0.0107566,1861
1860,58.0,0.0107779,1871
1870,58.0,0.0107984,1881
1880,58.0,0.0108206,1891
1890,58.0,0.0108424,1901
1900,58.0,0.0108638,1911
1910,58.0,0.0108934,1921
1920,58.0,0.0109136,1931
1930,58.0,0.010933,1941
1940,59.0,0.0109549,1951
1950,59.0,0.0109723,1961
1960,59.0,0.0109881,1971
1970,60.0,0.01101,1981
1980,60.0,0.0110404,1991
1990,60.0,0.0110603,2001
2000,60.0,0.0110805,2011
2010,60.0,0.0111846,2021
2020,60.0,0.0112067,2031
2030,60.0,0.0112347,2041
2040,60.0,0.0112715,2051
2050,60.0,0.0113021,2061
2060,60.0,0.0113235,2071
2070,60.0,0.0113406,2081
2080,60.0,0.0113584,2091
2090,60.0,0.0113751,2101
2100,60.0,0.0113921,2111
2110,60.0,0.0114095,2121
2120,60.0,0.0114361,2131
2130,60.0,0.0114542,2141
2140,60.0,0.01147,2151
2150,60.0,0.0114883,2161
2160,60.0,0.0115085,2171
2170,60.0,0.0115247,2181
2180,60.0,0.011545,2191
2190,60.0,0.0116182,2201
2200,60.0,0.0116348,2211
