iterations,fitness,time,fevals
0,15.0,9.10000000065e-06,11
10,15.0,1.67000000006e-05,21
20,15.0,2.81000000006e-05,31
30,15.0,3.85000000005e-05,41
40,15.0,4.93000000006e-05,51
50,15.0,5.80000000001e-05,61
60,16.0,6.88000000002e-05,71
70,16.0,7.74000000003e-05,81
80,16.0,8.52000000009e-05,91
90,16.0,9.24000000007e-05,101
100,16.0,9.97000000007e-05,111
110,16.0,0.000106700000001,121
120,16.0,0.000115200000001,131
130,16.0,0.0001227,141
140,16.0,0.0001344,151
150,16.0,0.0001464,161
160,18.0,0.0001558,171
170,18.0,0.0001636,181
180,18.0,0.000171300000001,191
190,18.0,0.00018,201
200,18.0,0.000190900000001,211
210,18.0,0.000199900000001,221
220,18.0,0.000208600000001,231
230,18.0,0.000218500000002,241
240,18.0,0.000229100000002,251
250,18.0,0.000239300000002,261
260,18.0,0.000248200000002,271
270,18.0,0.000254700000003,281
280,18.0,0.000261500000002,291
290,18.0,0.000269800000003,301
300,18.0,0.000277000000002,311
310,18.0,0.000284600000002,321
320,18.0,0.000295700000002,331
330,18.0,0.000304100000002,341
340,18.0,0.000311900000002,351
350,18.0,0.000319400000002,361
360,19.0,0.000327100000002,371
370,20.0,0.000335800000003,381
380,21.0,0.000347300000003,391
390,21.0,0.000358200000004,401
400,23.0,0.000370000000003,411
410,23.0,0.000384600000003,421
420,23.0,0.000400600000003,431
430,23.0,0.000413000000004,441
440,23.0,0.000426000000004,451
450,23.0,0.000439500000003,461
460,23.0,0.000452700000003,471
470,23.0,0.000466800000003,481
480,23.0,0.000480100000003,491
490,23.0,0.000493000000002,501
500,23.0,0.000506500000002,511
510,23.0,0.000518900000002,521
520,23.0,0.000531400000002,531
530,23.0,0.000544200000002,541
540,23.0,0.000557500000002,551
550,23.0,0.000570500000002,561
560,23.0,0.000583300000002,571
570,23.0,0.000595400000002,581
580,23.0,0.000608200000001,591
590,23.0,0.000621900000001,601
600,23.0,0.000634600000001,611
610,23.0,0.000647100000001,621
620,23.0,0.000658800000001,631
630,23.0,0.000671000000001,641
640,23.0,0.000683100000002,651
650,23.0,0.000695600000001,661
660,23.0,0.000708000000001,671
670,23.0,0.000720500000002,681
680,23.0,0.000732300000001,691
690,23.0,0.0007441,701
700,23.0,0.0007565,711
710,23.0,0.0007685,721
720,23.0,0.0007821,731
730,23.0,0.0007957,741
740,23.0,0.000811100000001,751
750,23.0,0.000823600000001,761
760,23.0,0.000836900000001,771
770,23.0,0.000849900000001,781
780,23.0,0.000862400000002,791
790,26.0,0.000875000000002,801
800,26.0,0.000893500000002,811
810,26.0,0.000906200000002,821
820,26.0,0.000918700000001,831
830,26.0,0.000931500000002,841
840,26.0,0.000943500000002,851
850,26.0,0.000956700000001,861
860,26.0,0.000972600000001,871
870,26.0,0.000985900000001,881
880,26.0,0.0010011,891
890,26.0,0.0010149,901
900,26.0,0.0010276,911
910,27.0,0.0010391,921
920,27.0,0.0010519,931
930,27.0,0.0010648,941
940,27.0,0.0010769,951
950,27.0,0.0010902,961
960,27.0,0.0011034,971
970,27.0,0.0011175,981
980,27.0,0.0011308,991
990,27.0,0.0011434,1001
1000,27.0,0.0011557,1011
1010,27.0,0.0011686,1021
1020,27.0,0.0011819,1031
1030,27.0,0.0011937,1041
1040,27.0,0.0012064,1051
1050,29.0,0.001218,1061
1060,30.0,0.0012301,1071
1070,30.0,0.0012423,1081
1080,30.0,0.0012557,1091
1090,30.0,0.0012696,1101
1100,30.0,0.0012825,1111
1110,30.0,0.0012971,1121
1120,30.0,0.0013182,1131
1130,30.0,0.001335,1141
1140,30.0,0.0013507,1151
1150,30.0,0.0013649,1161
1160,30.0,0.0013792,1171
1170,30.0,0.0013931,1181
1180,30.0,0.0014091,1191
1190,30.0,0.001422,1201
1200,30.0,0.0014347,1211
1210,30.0,0.0014471,1221
1220,30.0,0.0014624,1231
1230,30.0,0.0014757,1241
1240,30.0,0.0014884,1251
1250,30.0,0.0015029,1261
1260,30.0,0.0015155,1271
