iterations,fitness,time,fevals
0,534.0,0.0016479,449
10,535.0,0.0028008,780
20,535.0,0.0039977,1111
30,548.0,0.0050107,1444
40,548.0,0.0059868,1778
50,545.0,0.0071227,2110
60,545.0,0.0080731,2436
70,539.0,0.0090417,2786
80,539.0,0.0109894,3117
90,540.0,0.0120753,3455
100,539.0,0.0130348,3800
110,544.0,0.0139606,4134
120,544.0,0.0149121,4463
130,540.0,0.0158692,4792
140,540.0,0.0168061,5130
150,547.0,0.0177549,5456
160,550.0,0.0187472,5790
170,552.0,0.0210009,6128
180,550.0,0.0220335,6466
190,551.0,0.023023,6811
200,555.0,0.0240034,7154
210,563.0,0.0249309,7491
220,557.0,0.0258713,7825
230,548.0,0.0268573,8158
240,547.0,0.0278066,8486
250,545.0,0.0289258,8818
260,546.0,0.0298797,9150
270,546.0,0.0308008,9490
280,549.0,0.0317437,9823
290,551.0,0.0328696,10169
300,549.0,0.0337791,10494
310,541.0,0.0348369,10820
320,545.0,0.0357866,11156
330,545.0,0.0367089,11490
340,549.0,0.0376772,11830
350,550.0,0.0386144,12156
360,552.0,0.0397591,12501
370,546.0,0.0406891,12839
380,538.0,0.0429634,13173
390,540.0,0.0438977,13500
400,540.0,0.0449444,13830
410,538.0,0.0460042,14164
420,540.0,0.04691,14493
430,534.0,0.0478914,14816
440,536.0,0.0487838,15151
450,536.0,0.0498708,15474
460,536.0,0.05082,15811
470,540.0,0.0517885,16142
480,538.0,0.0527564,16479
490,536.0,0.0536717,16810
500,536.0,0.0546381,17134
510,534.0,0.0555773,17464
520,536.0,0.0574172,17788
530,540.0,0.0585149,18123
540,538.0,0.0594139,18459
550,534.0,0.0604177,18789
560,530.0,0.0613735,19123
570,530.0,0.0623812,19467
580,528.0,0.0633395,19796
590,530.0,0.0653404,20127
600,530.0,0.0662616,20462
610,530.0,0.0671816,20785
620,528.0,0.0681372,21120
630,530.0,0.0692455,21461
640,528.0,0.0701745,21788
650,526.0,0.0710662,22113
660,528.0,0.0719857,22448
670,528.0,0.0731072,22776
680,530.0,0.0740165,23107
690,530.0,0.0749617,23448
700,530.0,0.0759003,23781
710,530.0,0.0768253,24118
720,528.0,0.0777817,24454
730,526.0,0.0787947,24792
740,528.0,0.0799481,25116
750,530.0,0.0809954,25439
760,536.0,0.0818968,25768
770,532.0,0.0827947,26095
780,534.0,0.0837137,26430
790,536.0,0.084629,26767
800,540.0,0.0856014,27096
810,537.0,0.0877012,27426
820,538.0,0.0886444,27757
830,538.0,0.0898269,28097
840,537.0,0.0909729,28443
850,536.0,0.0919941,28784
860,536.0,0.0929036,29111
870,534.0,0.0939306,29443
880,536.0,0.0948373,29775
890,538.0,0.0957353,30104
900,540.0,0.096703,30430
910,538.0,0.0976305,30762
920,542.0,0.0985349,31093
930,542.0,0.0994981,31424
940,544.0,0.1012251,31760
950,542.0,0.1022356,32085
960,540.0,0.1031601,32425
970,538.0,0.1040713,32759
980,542.0,0.1049757,33093
990,538.0,0.1059564,33433
1000,542.0,0.1068793,33770
1010,540.0,0.1079536,34108
1020,540.0,0.109991,34449
1030,540.0,0.1109367,34778
1040,540.0,0.1118545,35116
1050,540.0,0.1129422,35443
1060,542.0,0.1139368,35777
1070,538.0,0.1150394,36113
1080,538.0,0.1159595,36440
1090,540.0,0.1168724,36773
1100,540.0,0.1177861,37106
1110,542.0,0.1187166,37439
1120,540.0,0.1196396,37772
1130,542.0,0.1205558,38102
1140,542.0,0.1215144,38426
1150,540.0,0.1224381,38752
1160,540.0,0.1236898,39079
1170,542.0,0.1246001,39413
1180,544.0,0.1256068,39758
1190,542.0,0.1266477,40095
1200,542.0,0.1275828,40432
1210,544.0,0.1286943,40768
1220,540.0,0.1296153,41095
1230,544.0,0.1318099,41434
1240,542.0,0.132713,41766
1250,544.0,0.1336379,42101
1260,546.0,0.134576,42439
1270,548.0,0.1358095,42785
1280,544.0,0.1368171,43126
1290,542.0,0.1377701,43470
1300,546.0,0.138667,43807
1310,546.0,0.1396021,44152
1320,548.0,0.1405272,44491
1330,548.0,0.1414303,44824
1340,552.0,0.1423992,45156
1350,546.0,0.1433394,45491
1360,546.0,0.1442439,45819
1370,552.0,0.1451722,46160
1380,548.0,0.1460832,46490
1390,554.0,0.1472392,46829
1400,556.0,0.1483044,47149
1410,552.0,0.1494416,47483
1420,554.0,0.1504651,47813
1430,554.0,0.1514762,48159
1440,551.0,0.1535403,48485
1450,550.0,0.1544587,48823
1460,552.0,0.1554062,49156
1470,552.0,0.1564841,49487
1480,558.0,0.1575345,49817
1490,558.0,0.1584918,50147
1500,556.0,0.1597679,50486
1510,557.0,0.1609467,50838
1520,555.0,0.1619468,51175
1530,553.0,0.1631774,51506
1540,552.0,0.1642802,51834
1550,552.0,0.1652861,52163
1560,552.0,0.1662772,52499
1570,554.0,0.167266,52843
1580,558.0,0.1682737,53172
1590,556.0,0.1695493,53509
1600,556.0,0.1709641,53837
1610,558.0,0.1720834,54171
1620,558.0,0.1730449,54491
1630,558.0,0.1740528,54825
1640,558.0,0.1749571,55146
1650,558.0,0.1772118,55482
1660,562.0,0.1781034,55814
1670,562.0,0.1790212,56148
1680,564.0,0.1799618,56472
1690,560.0,0.1809411,56811
1700,560.0,0.1819191,57138
1710,560.0,0.1831131,57475
1720,560.0,0.184063,57816
1730,558.0,0.1849802,58152
1740,560.0,0.1859105,58481
1750,556.0,0.1868718,58823
1760,554.0,0.1877638,59159
1770,550.0,0.1886803,59490
1780,554.0,0.1900057,59826
1790,552.0,0.191035,60154
1800,558.0,0.1919476,60483
1810,556.0,0.1930591,60813
1820,552.0,0.1939788,61150
1830,554.0,0.194947,61481
1840,556.0,0.1959253,61813
1850,558.0,0.1968368,62146
1860,560.0,0.1977346,62479
1870,562.0,0.1998286,62807
1880,560.0,0.2007651,63139
1890,560.0,0.2016732,63471
1900,556.0,0.2026953,63806
1910,556.0,0.203632,64143
1920,554.0,0.2047998,64478
1930,552.0,0.2057524,64818
1940,554.0,0.2066718,65156
1950,554.0,0.2075749,65488
1960,552.0,0.2085079,65815
1970,556.0,0.2094702,66150
1980,556.0,0.2104676,66483
1990,552.0,0.2113767,66817
2000,554.0,0.2122966,67152
2010,560.0,0.2132924,67499
2020,562.0,0.214257,67826
2030,558.0,0.215385,68151
2040,558.0,0.2163985,68494
2050,556.0,0.2174083,68832
2060,558.0,0.2183845,69172
2070,558.0,0.219363,69508
2080,556.0,0.2215275,69846
2090,554.0,0.2224847,70178
2100,558.0,0.223409,70520
2110,558.0,0.2243266,70850
2120,556.0,0.2252641,71180
2130,558.0,0.2261981,71522
2140,558.0,0.2272406,71864
2150,558.0,0.2282338,72197
2160,556.0,0.2292078,72539
2170,556.0,0.2301817,72879
2180,556.0,0.2311033,73206
2190,556.0,0.2321036,73539
2200,559.0,0.2331414,73873
2210,561.0,0.2340964,74205
2220,561.0,0.2350049,74550
2230,565.0,0.2359221,74885
2240,561.0,0.2368625,75233
2250,563.0,0.2378629,75575
2260,563.0,0.2390064,75906
2270,561.0,0.2401599,76235
2280,563.0,0.2411753,76571
2290,563.0,0.2432894,76894
2300,563.0,0.2442554,77229
2310,567.0,0.2451917,77567
2320,563.0,0.2461361,77913
2330,559.0,0.2471055,78242
2340,561.0,0.2480133,78573
2350,559.0,0.2489659,78912
2360,561.0,0.2501945,79240
2370,561.0,0.2511982,79572
2380,565.0,0.2521416,79919
2390,565.0,0.2530702,80271
2400,561.0,0.2542736,80595
