iterations,fitness,time,fevals
0,554.0,6.9634063,1000
10,575.0,13.7461465,2100
20,602.0,20.3587899,3200
30,628.0,26.703806,4300
40,644.0,32.8496066,5400
50,668.0,38.9394798,6500
60,680.0,44.7556569,7600
70,709.0,50.4006752,8700
80,710.0,55.9464145,9800
90,727.0,61.4629929,10900
100,729.0,66.8550424,12000
110,747.0,72.1633683,13100
120,743.0,77.3707115,14200
130,756.0,82.5047086,15300
140,759.0,87.6586675,16400
150,763.0,92.7634683,17500
160,761.0,97.9304614,18600
170,755.0,103.1186713,19700
180,765.0,108.2640413,20800
190,768.0,113.3796125,21900
200,767.0,118.46722,23000
210,767.0,123.5233496,24100
220,779.0,128.6073954,25200
230,767.0,133.6825361,26300
240,781.0,138.7394539,27400
250,781.0,143.7592002,28500
260,789.0,148.811787,29600
270,777.0,153.8517371,30700
280,801.0,158.8588505,31800
290,779.0,163.8669446,32900
300,789.0,168.8035358,34000
310,791.0,173.7241612,35100
320,805.0,178.6563788,36200
330,779.0,183.6222004,37300
340,782.0,188.6363037,38400
350,807.0,193.5519432,39500
360,785.0,198.4626118,40600
370,803.0,203.3527558,41700
380,783.0,208.2573983,42800
390,794.0,213.1413859,43900
400,781.0,218.1212772,45000
410,801.0,223.1509137,46100
420,791.0,228.210842,47200
430,801.0,233.168683,48300
440,791.0,238.0804416,49400
450,787.0,243.0349294,50500
460,791.0,248.0172148,51600
470,798.0,253.0327187,52700
480,797.0,258.0445706,53800
490,793.0,263.05009,54900
500,803.0,268.0152672,56000
510,789.0,272.9644179,57100
520,793.0,277.9541024,58200
530,789.0,282.9328359,59300
540,791.0,287.9745256,60400
550,785.0,292.9695307,61500
560,797.0,297.8976291,62600
570,797.0,302.8509178,63700
580,797.0,307.8201871,64800
590,799.0,312.7651463,65900
600,801.0,317.6779684,67000
610,807.0,322.6111937,68100
620,799.0,327.5441186,69200
630,797.0,332.4921897,70300
640,791.0,337.4625421,71400
650,795.0,342.4346407,72500
660,787.0,347.4914171,73600
670,789.0,352.5394151,74700
680,805.0,357.5532241,75800
690,799.0,362.5341233,76900
700,803.0,367.5570258,78000
710,805.0,372.5727632,79100
720,801.0,377.5657457,80200
730,805.0,382.4970328,81300
740,805.0,387.4304621,82400
750,801.0,392.4173884,83500
760,802.0,397.3832699,84600
770,803.0,402.3724262,85700
780,805.0,407.3236841,86800
790,801.0,412.2766665,87900
800,803.0,417.2605864,89000
810,813.0,422.2196681,90100
820,803.0,427.1263522,91200
830,815.0,432.0419684,92300
840,801.0,436.9376812,93400
850,805.0,441.896959,94500
860,805.0,446.8617437,95600
870,815.0,451.8769556,96700
880,815.0,456.869667,97800
890,799.0,461.9181114,98900
900,799.0,466.9551765,100000
910,813.0,471.94613,101100
920,817.0,476.8718053,102200
930,817.0,481.7841693,103300
940,819.0,486.7498729,104400
950,815.0,491.7603933,105500
960,801.0,496.7344259,106600
970,823.0,501.7131471,107700
980,819.0,506.6743233,108800
990,821.0,511.6861304,109900
1000,815.0,516.6515714,111000
1010,810.0,521.6087043,112100
1020,821.0,526.5569968,113200
1030,829.0,531.6174747,114300
1040,817.0,536.5569128,115400
1050,819.0,541.5038652,116500
1060,805.0,546.4633004,117600
1070,811.0,551.4770214,118700
1080,815.0,556.4595302,119800
1090,809.0,561.4394559,120900
1100,819.0,566.3225644,122000
1110,825.0,571.246092,123100
1120,827.0,576.2287657,124200
1130,815.0,581.1926609,125300
1140,829.0,586.1052237,126400
1150,823.0,591.0097848,127500
1160,815.0,595.9524946,128600
1170,819.0,600.8695807,129700
1180,819.0,605.7676792,130800
1190,813.0,610.7051207,131900
1200,815.0,615.627404,133000
1210,808.0,620.5856419,134100
1220,823.0,625.5547208,135200
1230,819.0,630.5698409,136300
1240,819.0,635.5679982,137400
1250,825.0,640.5063785,138500
1260,817.0,645.4193254,139600
1270,821.0,650.3484032,140700
1280,819.0,655.2819695,141800
1290,813.0,660.2827809,142900
1300,817.0,665.2539383,144000
1310,821.0,670.2513362,145100
1320,821.0,675.2220381,146200
1330,815.0,680.1480689,147300
1340,807.0,685.1715965,148400
1350,811.0,690.2319198,149500
1360,823.0,695.2567728,150600
1370,818.0,700.2363376,151700
1380,819.0,705.2087061,152800
1390,827.0,710.1913241,153900
1400,823.0,715.149041,155000
1410,817.0,720.1136722,156100
1420,819.0,725.1040605,157200
1430,827.0,730.0686499,158300
1440,817.0,735.0356037,159400
1450,819.0,739.9701783,160500
1460,815.0,744.9168184,161600
1470,819.0,749.8760771,162700
1480,823.0,754.78708,163800
1490,831.0,759.7275954,164900
1500,825.0,764.6310941,166000
1510,823.0,769.704252,167100
1520,825.0,774.5924256,168200
1530,819.0,779.508128,169300
1540,825.0,784.4437841,170400
1550,827.0,789.3460172,171500
1560,817.0,794.2525576,172600
1570,831.0,799.1809769,173700
1580,817.0,804.1255969,174800
1590,823.0,809.0705313,175900
1600,825.0,813.9358348,177000
1610,823.0,818.8371333,178100
1620,827.0,823.7621343,179200
1630,821.0,828.7189398,180300
1640,822.0,833.6863724,181400
1650,814.0,838.7371455,182500
1660,819.0,843.8006877,183600
1670,819.0,848.7672145,184700
1680,813.0,853.7187281,185800
1690,817.0,858.6557444,186900
1700,817.0,863.5507807,188000
1710,815.0,868.4788112,189100
1720,813.0,873.4950739,190200
1730,823.0,878.4715589,191300
1740,831.0,883.4561901,192400
1750,823.0,888.4062462,193500
1760,819.0,893.3452079,194600
1770,811.0,898.3095916,195700
1780,829.0,903.2226514,196800
1790,831.0,908.1420828,197900
1800,817.0,913.1578407,199000
1810,831.0,918.0817208,200100
1820,835.0,923.032475,201200
1830,817.0,927.9912835,202300
1840,815.0,932.9602885,203400
1850,815.0,937.888842,204500
1860,825.0,942.8164183,205600
1870,821.0,947.7577798,206700
1880,815.0,952.7057596,207800
1890,829.0,957.661953,208900
1900,817.0,962.5752356,210000
1910,825.0,967.5202236,211100
1920,818.0,972.4348751,212200
1930,823.0,977.3905426,213300
1940,827.0,982.3287498,214400
1950,827.0,987.2767997,215500
1960,825.0,992.1631834,216600
1970,829.0,997.0917376,217700
1980,831.0,1002.0283329,218800
1990,831.0,1007.0516312,219900
2000,835.0,1012.1925442,221000
2010,823.0,1017.1799492,222100
2020,831.0,1022.1414829,223200
2030,833.0,1027.0525937,224300
2040,823.0,1031.9921223,225400
2050,829.0,1036.9088388,226500
2060,831.0,1041.8328448,227600
2070,831.0,1046.7691631,228700
2080,833.0,1051.7395483,229800
