iterations,fitness,time,fevals
0,504.0,2.15e-05,11
10,508.0,4.47e-05,21
20,508.0,6.18e-05,31
30,512.0,8.00000000001e-05,41
40,514.0,9.59e-05,51
50,518.0,0.0001123,61
60,518.0,0.0001288,71
70,518.0,0.0001576,81
80,522.0,0.0002012,91
90,527.0,0.0002294,101
100,531.0,0.0002527,111
110,533.0,0.0002803,121
120,537.0,0.0002971,131
130,537.0,0.0003168,141
140,537.0,0.0003351,151
150,541.0,0.0003683,161
160,543.0,0.0003866,171
170,547.0,0.0004037,181
180,551.0,0.0004208,191
190,555.0,0.0004376,201
200,557.0,0.0004551,211
210,557.0,0.0004714,221
220,559.0,0.0004978,231
230,563.0,0.0005199,241
240,563.0,0.0005398,251
250,565.0,0.000558,261
260,565.0,0.0005761,271
270,565.0,0.0005941,281
280,569.0,0.0006216,291
290,573.0,0.0006403,301
300,575.0,0.0006576,311
310,579.0,0.0006838,321
320,585.0,0.0007008,331
330,585.0,0.0007355,341
340,589.0,0.0062501,351
350,589.0,0.006325,361
360,591.0,0.0063515,371
370,593.0,0.0063896,381
380,597.0,0.0064119,391
390,597.0,0.0064335,401
400,601.0,0.0064542,411
410,603.0,0.0064776,421
420,607.0,0.0064964,431
430,609.0,0.006514,441
440,611.0,0.0065438,451
450,611.0,0.0065629,461
460,619.0,0.006579,471
470,621.0,0.0065948,481
480,621.0,0.0066102,491
490,623.0,0.0066282,501
500,623.0,0.0066459,511
510,623.0,0.0066736,521
520,623.0,0.0066966,531
530,623.0,0.006714,541
540,627.0,0.0067446,551
550,627.0,0.0067677,561
560,631.0,0.0067878,571
570,631.0,0.0068039,581
580,635.0,0.0068196,591
590,639.0,0.006838,601
600,641.0,0.006881,611
610,641.0,0.0069078,621
620,643.0,0.0069301,631
630,643.0,0.0069639,641
640,643.0,0.0070001,651
650,643.0,0.0070235,661
660,645.0,0.0070529,671
670,645.0,0.0070862,681
680,645.0,0.0071076,691
690,645.0,0.0071343,701
700,649.0,0.0071552,711
710,649.0,0.0071842,721
720,649.0,0.0072151,731
730,651.0,0.0072452,741
740,653.0,0.0072675,751
750,653.0,0.0072885,761
760,657.0,0.0073225,771
770,659.0,0.0073624,781
780,661.0,0.0073883,791
790,661.0,0.0074067,801
800,661.0,0.0074282,811
810,661.0,0.0074466,821
820,667.0,0.0074655,831
830,667.0,0.0074836,841
840,667.0,0.0075003,851
850,667.0,0.0075167,861
860,671.0,0.0075329,871
870,673.0,0.007552,881
880,673.0,0.0075726,891
890,673.0,0.0076031,901
900,673.0,0.007634,911
910,673.0,0.0076512,921
920,675.0,0.007668,931
930,677.0,0.0077007,941
940,677.0,0.007739,951
950,679.0,0.007768,961
960,679.0,0.0078038,971
970,679.0,0.0078223,981
980,679.0,0.0078392,991
990,681.0,0.0078582,1001
1000,681.0,0.0078806,1011
1010,683.0,0.0078982,1021
1020,685.0,0.0079162,1031
1030,685.0,0.0079339,1041
1040,685.0,0.0079512,1051
1050,685.0,0.00797,1061
1060,685.0,0.0079869,1071
1070,685.0,0.0080084,1081
1080,687.0,0.0080258,1091
1090,687.0,0.0080419,1101
1100,687.0,0.0080588,1111
1110,689.0,0.0080746,1121
1120,689.0,0.0080906,1131
1130,693.0,0.0081071,1141
1140,693.0,0.0081231,1151
1150,693.0,0.0081398,1161
1160,693.0,0.0081589,1171
1170,695.0,0.0081748,1181
1180,697.0,0.008191,1191
1190,697.0,0.0082068,1201
1200,697.0,0.0082243,1211
1210,697.0,0.0082525,1221
1220,699.0,0.008278,1231
1230,699.0,0.0082954,1241
1240,699.0,0.0083125,1251
1250,701.0,0.0083298,1261
1260,701.0,0.0083543,1271
1270,703.0,0.0083728,1281
1280,703.0,0.0083916,1291
1290,703.0,0.0084164,1301
1300,703.0,0.0084334,1311
1310,703.0,0.0084569,1321
1320,703.0,0.008475,1331
1330,703.0,0.0084921,1341
1340,703.0,0.0085094,1351
1350,703.0,0.0085341,1361
1360,703.0,0.008552,1371
1370,703.0,0.0085697,1381
1380,703.0,0.0085861,1391
1390,703.0,0.0086037,1401
1400,703.0,0.008622,1411
1410,703.0,0.0086453,1421
1420,705.0,0.0086684,1431
1430,705.0,0.0087082,1441
1440,705.0,0.0087322,1451
1450,705.0,0.0087577,1461
1460,705.0,0.0087848,1471
1470,709.0,0.0088122,1481
1480,709.0,0.0088387,1491
1490,709.0,0.0088606,1501
1500,709.0,0.0088803,1511
1510,709.0,0.0089041,1521
1520,709.0,0.0089237,1531
1530,709.0,0.0089437,1541
1540,711.0,0.0089639,1551
1550,713.0,0.0089827,1561
1560,713.0,0.0090011,1571
1570,715.0,0.009028,1581
1580,717.0,0.0090469,1591
1590,719.0,0.0090701,1601
1600,719.0,0.0090887,1611
1610,719.0,0.0091063,1621
1620,719.0,0.0091255,1631
1630,719.0,0.0091465,1641
1640,721.0,0.009165,1651
1650,721.0,0.0091818,1661
1660,721.0,0.0092024,1671
1670,723.0,0.0092222,1681
1680,723.0,0.0092427,1691
1690,723.0,0.0092721,1701
1700,723.0,0.0092929,1711
1710,723.0,0.009313,1721
1720,723.0,0.00934,1731
1730,725.0,0.0093749,1741
1740,725.0,0.009395,1751
1750,725.0,0.0094128,1761
1760,725.0,0.0094307,1771
1770,725.0,0.0094488,1781
1780,725.0,0.0094661,1791
1790,725.0,0.0094898,1801
1800,727.0,0.0095152,1811
1810,727.0,0.0095362,1821
1820,727.0,0.009557,1831
1830,727.0,0.009593,1841
1840,727.0,0.0096295,1851
1850,727.0,0.0096578,1861
1860,729.0,0.0096827,1871
1870,733.0,0.0097028,1881
1880,733.0,0.0097254,1891
1890,733.0,0.0097424,1901
1900,733.0,0.0097603,1911
1910,733.0,0.0097816,1921
1920,733.0,0.0098059,1931
1930,733.0,0.0098252,1941
1940,733.0,0.0098428,1951
1950,735.0,0.0098653,1961
1960,737.0,0.0098907,1971
1970,737.0,0.0099093,1981
1980,737.0,0.0099272,1991
1990,737.0,0.0099583,2001
2000,739.0,0.0099766,2011
2010,739.0,0.0099941,2021
2020,739.0,0.0100104,2031
2030,739.0,0.0100286,2041
2040,739.0,0.0100455,2051
2050,739.0,0.0100622,2061
2060,739.0,0.0100785,2071
2070,739.0,0.0100956,2081
2080,739.0,0.0101123,2091
2090,741.0,0.0101284,2101
2100,741.0,0.0101477,2111
2110,741.0,0.0101649,2121
2120,741.0,0.0101905,2131
2130,741.0,0.0102101,2141
2140,741.0,0.0102283,2151
2150,741.0,0.0102468,2161
2160,741.0,0.0102653,2171
2170,741.0,0.0102825,2181
2180,741.0,0.010306,2191
2190,741.0,0.0103237,2201
2200,741.0,0.0103411,2211
2210,741.0,0.0103616,2221
2220,741.0,0.0103791,2231
2230,741.0,0.0103954,2241
2240,741.0,0.0104128,2251
2250,741.0,0.0104397,2261
2260,741.0,0.01047,2271
2270,741.0,0.0104963,2281
2280,741.0,0.0105244,2291
2290,741.0,0.0105441,2301
2300,741.0,0.0105624,2311
2310,741.0,0.0105808,2321
2320,743.0,0.0106024,2331
2330,743.0,0.0106203,2341
2340,743.0,0.0106377,2351
2350,743.0,0.0106545,2361
2360,743.0,0.0106712,2371
2370,743.0,0.0106877,2381
2380,743.0,0.0107039,2391
2390,743.0,0.0107255,2401
2400,745.0,0.0107448,2411
2410,747.0,0.010763,2421
2420,747.0,0.0107794,2431
2430,747.0,0.0107956,2441
2440,749.0,0.0108158,2451
2450,751.0,0.0108572,2461
2460,753.0,0.0108785,2471
2470,753.0,0.0109,2481
2480,753.0,0.0109177,2491
2490,753.0,0.0109365,2501
2500,753.0,0.0109592,2511
2510,753.0,0.0109837,2521
2520,753.0,0.0110095,2531
2530,755.0,0.0110285,2541
2540,755.0,0.0110488,2551
2550,755.0,0.011065,2561
2560,755.0,0.0110817,2571
2570,755.0,0.0110984,2581
2580,755.0,0.0111167,2591
2590,755.0,0.0111332,2601
2600,755.0,0.0111511,2611
2610,755.0,0.0111697,2621
2620,755.0,0.0111866,2631
2630,755.0,0.0112043,2641
2640,755.0,0.0112282,2651
2650,755.0,0.0112908,2661
2660,755.0,0.0113196,2671
2670,755.0,0.0113455,2681
2680,755.0,0.0113673,2691
2690,755.0,0.0113986,2701
2700,757.0,0.0114163,2711
2710,757.0,0.0114371,2721
2720,757.0,0.0114574,2731
