iterations,fitness,time,fevals
0,531.0,2.77999999998e-05,11
10,533.0,7.04999999996e-05,21
20,533.0,0.000113799999999,31
30,535.0,0.000150299999999,41
40,535.0,0.000183799999999,51
50,537.0,0.0002264,61
60,537.0,0.0002619,71
70,539.0,0.0002963,81
80,541.0,0.000318200000001,91
90,543.0,0.0003439,101
100,547.0,0.0003767,111
110,549.0,0.000401300000001,121
120,553.0,0.000432900000001,131
130,553.0,0.0004629,141
140,557.0,0.0004838,151
150,559.0,0.000526400000001,161
160,559.0,0.000559400000001,171
170,561.0,0.000595400000002,181
180,563.0,0.000629000000002,191
190,563.0,0.000660000000002,201
200,565.0,0.000690800000002,211
210,569.0,0.000729900000002,221
220,571.0,0.000771300000002,231
230,575.0,0.000808900000003,241
240,579.0,0.000850500000002,251
250,581.0,0.000888000000002,261
260,581.0,0.000919600000002,271
270,581.0,0.000953300000003,281
280,583.0,0.000974800000002,291
290,583.0,0.0010157,301
300,583.0,0.001049,311
310,583.0,0.0010889,321
320,583.0,0.001112,331
330,583.0,0.0011424,341
340,583.0,0.0011624,351
350,589.0,0.0011822,361
360,595.0,0.0012217,371
370,599.0,0.0012464,381
380,601.0,0.0012691,391
390,601.0,0.0012967,401
400,601.0,0.0013235,411
410,601.0,0.0013635,421
420,603.0,0.0013987,431
430,603.0,0.0014303,441
440,605.0,0.0014635,451
450,607.0,0.0015009,461
460,609.0,0.0015381,471
470,609.0,0.001565,481
480,609.0,0.0015853,491
490,609.0,0.00161,501
500,609.0,0.0016346,511
510,609.0,0.0016564,521
520,609.0,0.0016883,531
530,613.0,0.0017095,541
540,613.0,0.0017314,551
550,615.0,0.0017579,561
560,619.0,0.0017872,571
570,619.0,0.0018281,581
580,621.0,0.0018548,591
590,623.0,0.0018836,601
600,623.0,0.0019056,611
610,623.0,0.0019381,621
620,623.0,0.0019721,631
630,623.0,0.0020029,641
640,623.0,0.0020291,651
650,623.0,0.0020871,661
660,625.0,0.0021136,671
670,627.0,0.002144,681
680,627.0,0.002167,691
690,627.0,0.0021969,701
700,629.0,0.0022192,711
710,629.0,0.0022609,721
720,631.0,0.0022971,731
730,631.0,0.0023248,741
740,633.0,0.0023505,751
750,633.0,0.0023775,761
760,633.0,0.0024024,771
770,633.0,0.0024259,781
780,635.0,0.0024623,791
790,635.0,0.0024888,801
800,639.0,0.002521,811
810,643.0,0.0025468,821
820,645.0,0.0025799,831
830,645.0,0.0026079,841
840,645.0,0.0026341,851
850,647.0,0.0026589,861
860,647.0,0.0026839,871
870,649.0,0.0027104,881
880,651.0,0.0027347,891
890,653.0,0.0027577,901
900,653.0,0.0027925,911
910,657.0,0.0028158,921
920,657.0,0.002844,931
930,657.0,0.0028705,941
940,657.0,0.0028955,951
950,659.0,0.0029261,961
960,661.0,0.0029537,971
970,661.0,0.0029781,981
980,661.0,0.0030038,991
990,661.0,0.0030303,1001
1000,663.0,0.0030576,1011
1010,663.0,0.0030826,1021
1020,663.0,0.0031056,1031
1030,663.0,0.0031291,1041
1040,665.0,0.0031531,1051
1050,667.0,0.0031792,1061
1060,669.0,0.0032048,1071
1070,669.0,0.0032282,1081
1080,671.0,0.0032528,1091
1090,675.0,0.0032768,1101
1100,675.0,0.0033022,1111
1110,675.0,0.0033265,1121
1120,677.0,0.0033597,1131
1130,679.0,0.0033857,1141
1140,679.0,0.0034104,1151
1150,679.0,0.003434,1161
1160,681.0,0.0034613,1171
1170,683.0,0.0034857,1181
1180,683.0,0.0035121,1191
1190,685.0,0.0035456,1201
1200,689.0,0.0035961,1211
1210,691.0,0.0036256,1221
1220,691.0,0.0036581,1231
1230,691.0,0.0036836,1241
1240,691.0,0.0037091,1251
1250,691.0,0.0037344,1261
1260,691.0,0.0037587,1271
1270,691.0,0.0037919,1281
1280,691.0,0.0038185,1291
1290,691.0,0.0038425,1301
1300,691.0,0.0038669,1311
1310,691.0,0.0039004,1321
1320,691.0,0.0039284,1331
1330,691.0,0.0039552,1341
1340,693.0,0.0039889,1351
1350,693.0,0.0040194,1361
1360,695.0,0.0040476,1371
1370,695.0,0.0040806,1381
1380,697.0,0.004106,1391
1390,699.0,0.0041296,1401
1400,701.0,0.0041547,1411
