iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.456771615,0.449830491,0.454326849,0.5428125,0.55,0.545,0.469819814,0.478858576,0.472964362,55.0180815
10,0.187368229,0.214748073,0.214022007,0.811875,0.784375,0.785,0.805955564,0.779561116,0.776553497,951.471768
20,0.110796754,0.18253227,0.184770073,0.88765625,0.815,0.814,0.887491078,0.815110308,0.812510812,1840.482222
30,0.074914224,0.192843214,0.188841897,0.92171875,0.805625,0.8095,0.921397354,0.8053135,0.808746268,2727.898564
40,0.04580324,0.197144576,0.193067556,0.95,0.800625,0.8055,0.949831479,0.800492694,0.80468123,3640.818202
50,0.02425032,0.197291183,0.194063105,0.973125,0.80125,0.805,0.973069265,0.801167679,0.804657992,4609.363363
60,0.012013142,0.203807028,0.193029295,0.9853125,0.794375,0.8055,0.985336212,0.794390051,0.805050588,5552.189063
70,0.007306689,0.20622909,0.197311972,0.99171875,0.791875,0.8005,0.991718132,0.791995584,0.799880893,6558.854921
80,0.002209229,0.206092317,0.199911258,0.99765625,0.790625,0.798,0.997658416,0.790737531,0.797310528,7534.943541
90,0.00059915,0.205749221,0.20338402,0.999375,0.791875,0.7945,0.999375121,0.791864124,0.794089503,8424.026714
100,4.87E-07,0.205380905,0.204654909,1,0.7925,0.7925,1,0.792551555,0.792256817,9363.986341
110,2.97E-09,0.204082954,0.203230487,1,0.794375,0.795,1,0.79482566,0.7947621,10246.56289
120,2.39E-11,0.203123644,0.202662598,1,0.79375,0.796,1,0.793916489,0.795695986,11125.80428
130,1.78E-13,0.20080842,0.203142219,1,0.795625,0.795,1,0.795886359,0.794639239,12006.54547
140,6.83E-15,0.198939702,0.203592084,1,0.799375,0.794,1,0.799620166,0.793642037,12886.34357
150,9.28E-18,0.198260743,0.202356385,1,0.799375,0.7965,1,0.799692337,0.796044963,13768.77338
160,1.44E-08,0.195655843,0.200046601,1,0.801875,0.798,1,0.802138949,0.797522373,14650.85565
170,3.05E-21,0.195248459,0.197587283,1,0.80125,0.8005,1,0.801607372,0.80004514,15531.59127
180,3.53E-23,0.197456224,0.196940509,1,0.800625,0.8015,1,0.80128338,0.80105577,16413.67777
190,6.51E-25,0.197016267,0.195312937,1,0.8,0.803,1,0.800352692,0.802511475,17351.91644
200,1.58E-26,0.196328463,0.19599712,1,0.801875,0.8025,1,0.802389468,0.802001474,18245.9649
210,6.31E-28,0.196295785,0.19389469,1,0.801875,0.8045,1,0.80222689,0.804112844,19218.71464
220,2.52E-29,0.195488877,0.193287349,1,0.803125,0.805,1,0.803203882,0.804566903,20180.24705
230,1.69E-25,0.194300888,0.193852489,1,0.805,0.8035,1,0.805143668,0.803056294,21149.8009
240,3.58E-32,0.194825129,0.193593839,1,0.804375,0.8045,1,0.804669788,0.804160075,22127.77896
250,2.83E-33,0.195240402,0.193325354,1,0.80375,0.8045,1,0.804069138,0.804100201,23102.08021
260,4.96E-33,0.194600929,0.192017245,1,0.804375,0.805,1,0.804678235,0.804529032,24069.52638
270,2.25E-25,0.194515134,0.190132737,1,0.80375,0.8065,1,0.804082719,0.806061062,25029.84378
280,8.13E-25,0.192928698,0.190983035,1,0.80625,0.807,1,0.806450255,0.806679831,25916.28525
290,7.06E-34,0.19285797,0.189943439,1,0.805625,0.8065,1,0.805851094,0.806289484,26862.45398
300,3.85E-33,0.192011887,0.189610604,1,0.806875,0.8085,1,0.807097259,0.808191769,27792.02739
310,1.36E-29,0.190891536,0.189392378,1,0.80875,0.809,1,0.808969632,0.80858996,28716.82559
320,1.25E-33,0.18984904,0.190838508,1,0.80875,0.808,1,0.808857442,0.807709916,29630.37366
330,6.97E-33,0.191368308,0.191602517,1,0.8075,0.8075,1,0.807676928,0.807311188,30556.39051
340,9.86E-34,0.189764149,0.191864261,1,0.809375,0.8065,1,0.809808297,0.806271148,31448.49911
350,1.73E-33,0.188691092,0.191760105,1,0.809375,0.806,1,0.809601694,0.805841218,32339.3329
360,0.000156242,0.189739658,0.193661752,0.99984375,0.808125,0.805,0.99984375,0.808018194,0.804815775,33229.58574
