iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.882528446,0.881993555,0.873314876,0.10453125,0.10375,0.112,0.042753544,0.04289483,0.04774397,34.4853309
10,0.882403544,0.88196594,0.873310724,0.10453125,0.104375,0.1125,0.04274549,0.043045314,0.047857075,354.4469385
20,0.882368564,0.881862662,0.873327136,0.10453125,0.104375,0.1125,0.042738954,0.043045314,0.047844819,675.605432
30,0.882345489,0.881948577,0.87330149,0.10453125,0.104375,0.1125,0.042715727,0.043027697,0.047849443,985.6655695
40,0.882248059,0.881978414,0.873315107,0.1046875,0.104375,0.1125,0.042964752,0.043043838,0.047857075,1299.547344
50,0.882103871,0.88183208,0.873264266,0.1053125,0.104375,0.113,0.04321368,0.043059698,0.048002927,1611.27526
60,0.881956619,0.881718094,0.873396083,0.10546875,0.104375,0.1125,0.043372641,0.043060855,0.047035391,1925.946903
70,0.881904311,0.881736834,0.873522933,0.10546875,0.104375,0.113,0.043396051,0.043075623,0.047998627,2239.623777
80,0.881769548,0.881651092,0.873046255,0.10546875,0.104375,0.1125,0.043373995,0.043087808,0.047819991,2548.601168
90,0.881677818,0.881830971,0.873061367,0.10546875,0.104375,0.112,0.043384528,0.043063001,0.046956356,2860.808918
100,0.881597077,0.881658441,0.87300773,0.1053125,0.104375,0.1125,0.043340121,0.043064525,0.047110313,3205.729062
110,0.881555727,0.881753601,0.872997228,0.1053125,0.104375,0.1125,0.043344223,0.043064525,0.047122795,3552.157546
120,0.881420611,0.881723605,0.872987248,0.10546875,0.104375,0.1125,0.043405995,0.043106263,0.04709776,3894.420381
130,0.881363745,0.881686843,0.872957898,0.10546875,0.104375,0.1125,0.043415079,0.043122582,0.04709776,4230.757162
140,0.88131157,0.88168263,0.872965096,0.10546875,0.104375,0.1125,0.043403891,0.043073337,0.047097883,4558.528913
150,0.881139949,0.881560558,0.873026214,0.105625,0.104375,0.1125,0.043670968,0.043122104,0.047083339,4892.78241
160,0.880999265,0.88157976,0.873054967,0.105625,0.104375,0.1125,0.043654881,0.043107214,0.047113163,5238.976409
170,0.880956618,0.881692408,0.873109601,0.105625,0.104375,0.1125,0.043668793,0.04312095,0.047100577,5595.870704
180,0.880897274,0.881605796,0.873203927,0.105625,0.104375,0.112,0.043672852,0.043122276,0.046991512,5939.525187
190,0.880824389,0.881595565,0.873133496,0.105625,0.104375,0.1125,0.043669802,0.043122276,0.047100759,6280.710706
200,0.880775082,0.881658485,0.873099346,0.10578125,0.104375,0.1125,0.043713751,0.043104556,0.047125619,6639.394288
210,0.880687975,0.881570962,0.872931002,0.10578125,0.104375,0.1125,0.043591626,0.043080986,0.047132403,6949.818991
220,0.880609847,0.881772983,0.872845769,0.10578125,0.104375,0.1125,0.043557807,0.043090824,0.047113729,7262.420521
230,0.880518041,0.881540876,0.872977851,0.10578125,0.105,0.113,0.043561925,0.043647568,0.048043118,7571.581631
240,0.880423872,0.881634377,0.872923596,0.10625,0.105,0.1125,0.044023861,0.043683216,0.047154826,7883.356605
250,0.880408728,0.881650878,0.873099457,0.10625,0.105,0.1125,0.044026652,0.043683623,0.047138857,8234.05709
260,0.880372781,0.881615772,0.873080976,0.10609375,0.105625,0.1125,0.04398908,0.04458286,0.047138857,8547.360678
270,0.880329389,0.881726736,0.873144216,0.10609375,0.104375,0.1125,0.044002824,0.043110901,0.04714695,8858.199105
280,0.880087341,0.881771822,0.873183676,0.10640625,0.104375,0.1125,0.044113984,0.043112084,0.047149839,9169.077655
290,0.880029638,0.881758046,0.873011708,0.1065625,0.104375,0.113,0.044409036,0.043112084,0.047995889,9477.89244
300,0.879500366,0.881775874,0.873015919,0.10703125,0.104375,0.113,0.044624428,0.043095837,0.048003929,9787.683412
