problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,GA,"['100', '30', '30']",95.0,4350,0.1435057,210332.0
CONTPEAKS,MIMIC,"['100', '50', '0.5']",94.0,4390,15.0496187,483900.0
CONTPEAKS,RHC,"[]",99.0,4840,0.0165161,4851.0
CONTPEAKS,SA,"['0.55']",99.0,4230,0.0063401,4241.0
FLIPFLOP,GA,"['100', '30', '50']",593.0,2330,0.34110250000000003,135042.0
FLIPFLOP,MIMIC,"['100', '50', '0.9']",846.0,4730,2582.9824555,521300.0
FLIPFLOP,RHC,"[]",795.0,4820,0.0299536,4831.0
FLIPFLOP,SA,"['0.55']",840.0,4990,0.012534299999999998,5001.0
NN,Backprop,"['\\NN', 'Backpro']",0.8125108120000001,20,1840.4822219999999,0
NN,GA,"['\\NN', 'GA', '15', '3']",0.131928853935,30,6175.3975283,0
NN,RHC,"['\\NN', 'RH']",0.048525171,420,13502.66705,0
NN,SA,"['\\NN', 'SA', '0.5']",0.10991177321699999,500,11898.3122512,0
TSP,GA,"['100', '30', '10']",0.102061880668,1810,0.227365100009,66947.0
TSP,MIMIC,"['100', '50', '0.1']",0.0378484973929,2380,264.9329985,262800.0
TSP,RHC,"[]",0.06061568356290001,2960,0.00591300000815,2971.0
TSP,SA,"['0.15']",0.049419927297599996,2940,0.0056596999602299995,2951.0
